# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
0.68          	p             	-2.118167e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.296604e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.69          	U             	(5.659394e-01 -9.306903e-01 -1.918081e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.518423e+00 8.697417e-01 6.065408e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.69          	p             	-2.190449e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.303948e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.7           	U             	(5.628186e-01 -9.292706e-01 -1.908849e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.512793e+00 8.562889e-01 5.985528e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.7           	p             	-2.193775e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.293036e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.71          	U             	(5.630519e-01 -9.251292e-01 -1.937418e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.540535e+00 8.526965e-01 6.284189e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.71          	p             	-2.102999e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.306958e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.72          	U             	(5.687549e-01 -9.287881e-01 -1.917520e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.533290e+00 8.563171e-01 6.328976e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.72          	p             	-2.147724e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.289214e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.73          	U             	(5.638612e-01 -9.289342e-01 -1.912014e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.512797e+00 8.645635e-01 5.950871e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.73          	p             	-2.206593e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.292787e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.74          	U             	(5.602291e-01 -9.272800e-01 -1.912532e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.526195e+00 8.540396e-01 6.171687e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.74          	p             	-2.146961e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.298813e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.75          	U             	(5.675200e-01 -9.258297e-01 -1.941456e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.542197e+00 8.492706e-01 6.381342e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.75          	p             	-2.112170e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.300635e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.76          	U             	(5.666170e-01 -9.294293e-01 -1.920125e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.521784e+00 8.667352e-01 6.129640e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.76          	p             	-2.184027e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.294397e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.77          	U             	(5.616890e-01 -9.303966e-01 -1.902953e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.509634e+00 8.645266e-01 5.976293e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.77          	p             	-2.195032e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.297796e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.78          	U             	(5.647556e-01 -9.246857e-01 -1.939342e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.535026e+00 8.462515e-01 6.286601e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.78          	p             	-2.103322e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.302004e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.79          	U             	(5.667442e-01 -9.261582e-01 -1.925885e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.537434e+00 8.599223e-01 6.319592e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.79          	p             	-2.139848e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.292774e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.8           	U             	(5.646589e-01 -9.303267e-01 -1.908961e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.512892e+00 8.618480e-01 5.977766e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.8           	p             	-2.204455e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.297241e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.81          	U             	(5.621678e-01 -9.271082e-01 -1.915405e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.520275e+00 8.527732e-01 6.142311e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.81          	p             	-2.167758e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.293825e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.82          	U             	(5.644544e-01 -9.251148e-01 -1.935225e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.545815e+00 8.480509e-01 6.316606e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.82          	p             	-2.106594e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.301685e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.83          	U             	(5.682766e-01 -9.302691e-01 -1.919362e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.525925e+00 8.557500e-01 6.205451e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.83          	p             	-2.174234e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.296038e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.84          	U             	(5.632237e-01 -9.300440e-01 -1.909753e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.509065e+00 8.679636e-01 5.949025e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.84          	p             	-2.206715e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.294958e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.85          	U             	(5.615162e-01 -9.257235e-01 -1.927031e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.534595e+00 8.479258e-01 6.219550e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.85          	p             	-2.111834e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.305105e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.86          	U             	(5.688412e-01 -9.268784e-01 -1.934284e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.535298e+00 8.568937e-01 6.384300e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.86          	p             	-2.120378e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.295561e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.87          	U             	(5.644495e-01 -9.294570e-01 -1.916107e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.518386e+00 8.734819e-01 6.001208e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.87          	p             	-2.199138e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.297915e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.88          	U             	(5.612889e-01 -9.292355e-01 -1.906916e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.515708e+00 8.540243e-01 6.064422e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.88          	p             	-2.171401e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.296981e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.89          	U             	(5.663569e-01 -9.253946e-01 -1.944295e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.538380e+00 8.515703e-01 6.329687e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.89          	p             	-2.103948e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.304758e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.9           	U             	(5.667503e-01 -9.284644e-01 -1.917543e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.535499e+00 8.505384e-01 6.233172e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.9           	p             	-2.157200e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.288840e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.91          	U             	(5.637971e-01 -9.307249e-01 -1.913625e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.508849e+00 8.649109e-01 5.935353e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.91          	p             	-2.200056e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.303702e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.92          	U             	(5.623153e-01 -9.247310e-01 -1.926499e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.527774e+00 8.512474e-01 6.202353e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.92          	p             	-2.130362e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.297300e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.93          	U             	(5.656725e-01 -9.254981e-01 -1.931128e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.542983e+00 8.551947e-01 6.347124e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.93          	p             	-2.120725e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.296202e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.94          	U             	(5.672160e-01 -9.312378e-01 -1.919462e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.517609e+00 8.681447e-01 6.056190e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.94          	p             	-2.194768e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.302474e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.95          	U             	(5.614511e-01 -9.289613e-01 -1.908811e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.513403e+00 8.574776e-01 5.999793e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.95          	p             	-2.194426e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.293667e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.96          	U             	(5.632082e-01 -9.250773e-01 -1.933696e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.538349e+00 8.601853e-01 6.296987e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.96          	p             	-2.099533e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.305141e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.97          	U             	(5.697025e-01 -9.295920e-01 -1.919079e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.535543e+00 8.505334e-01 6.318268e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.97          	p             	-2.153622e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.286221e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.98          	U             	(5.629242e-01 -9.298640e-01 -1.907802e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.512254e+00 8.610519e-01 5.963652e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.98          	p             	-2.204227e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.294151e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.99          	U             	(5.607375e-01 -9.266117e-01 -1.913584e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.522002e+00 8.533608e-01 6.190506e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.99          	p             	-2.141317e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.294336e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1             	U             	(5.676049e-01 -9.256647e-01 -1.940646e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.542738e+00 8.554679e-01 6.375242e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1             	p             	-2.115231e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.297061e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.01          	U             	(5.654383e-01 -9.297580e-01 -1.916310e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.524364e+00 8.648171e-01 6.107077e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.01          	p             	-2.185773e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.299002e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.02          	U             	(5.626816e-01 -9.297556e-01 -1.904338e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.506479e+00 8.619008e-01 6.001538e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.02          	p             	-2.198364e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.293846e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.03          	U             	(5.641775e-01 -9.247150e-01 -1.938128e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.534399e+00 8.530240e-01 6.290580e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.03          	p             	-2.105462e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.301844e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.04          	U             	(5.664837e-01 -9.264779e-01 -1.922656e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.539190e+00 8.590547e-01 6.303035e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.04          	p             	-2.139861e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.292679e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.05          	U             	(5.655125e-01 -9.306679e-01 -1.911475e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.512960e+00 8.597081e-01 5.986094e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.05          	p             	-2.206760e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.297038e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.06          	U             	(5.612599e-01 -9.268032e-01 -1.914088e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.521762e+00 8.546303e-01 6.153879e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.06          	p             	-2.166390e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.293901e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.07          	U             	(5.647266e-01 -9.251488e-01 -1.935501e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.543015e+00 8.546724e-01 6.320704e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.07          	p             	-2.106567e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.303157e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.08          	U             	(5.689740e-01 -9.304392e-01 -1.922578e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.525254e+00 8.541483e-01 6.178506e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.08          	p             	-2.176629e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.296162e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.09          	U             	(5.620255e-01 -9.298710e-01 -1.907005e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.510800e+00 8.665307e-01 5.960989e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.09          	p             	-2.205311e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.294843e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.1           	U             	(5.625740e-01 -9.250866e-01 -1.930892e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.531341e+00 8.530619e-01 6.272991e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.1           	p             	-2.102613e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.304353e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.11          	U             	(5.690626e-01 -9.263840e-01 -1.934350e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.535963e+00 8.610103e-01 6.360540e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.11          	p             	-2.130669e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.292685e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.12          	U             	(5.635070e-01 -9.301135e-01 -1.913862e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.519484e+00 8.652061e-01 5.953079e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.12          	p             	-2.198139e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.300993e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.13          	U             	(5.622113e-01 -9.295318e-01 -1.908587e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.516290e+00 8.509719e-01 6.098313e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.13          	p             	-2.169972e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.295078e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.14          	U             	(5.659153e-01 -9.252208e-01 -1.943677e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.537120e+00 8.606135e-01 6.344375e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.14          	p             	-2.107441e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.304379e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.15          	U             	(5.668298e-01 -9.287639e-01 -1.913620e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.533582e+00 8.458947e-01 6.204160e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.15          	p             	-2.162173e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.289376e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.16          	U             	(5.638482e-01 -9.301072e-01 -1.916938e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.508935e+00 8.639637e-01 5.935092e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.16          	p             	-2.202468e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.301830e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.17          	U             	(5.618497e-01 -9.258815e-01 -1.922792e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.530771e+00 8.550814e-01 6.225302e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.17          	p             	-2.126896e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.297518e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.18          	U             	(5.663178e-01 -9.256947e-01 -1.933231e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.541401e+00 8.551387e-01 6.356736e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.18          	p             	-2.121294e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.298525e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.19          	U             	(5.676506e-01 -9.314260e-01 -1.920983e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.517010e+00 8.669529e-01 6.032336e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.19          	p             	-2.197168e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.303155e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.2           	U             	(5.612052e-01 -9.296656e-01 -1.906167e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.515185e+00 8.541452e-01 6.001299e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.2           	p             	-2.186487e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.296009e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.21          	U             	(5.643161e-01 -9.247317e-01 -1.939413e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.536259e+00 8.539197e-01 6.297077e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.21          	p             	-2.097547e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.306078e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.22          	U             	(5.691570e-01 -9.287315e-01 -1.918196e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.533876e+00 8.540559e-01 6.297498e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.22          	p             	-2.151634e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.285291e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.23          	U             	(5.623692e-01 -9.302165e-01 -1.909527e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.513986e+00 8.627178e-01 5.921028e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.23          	p             	-2.198374e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.299060e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.24          	U             	(5.621660e-01 -9.264993e-01 -1.918612e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.525489e+00 8.484596e-01 6.203581e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.24          	p             	-2.142479e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.297388e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.25          	U             	(5.670827e-01 -9.248543e-01 -1.942000e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.540649e+00 8.578013e-01 6.396876e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.25          	p             	-2.117980e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.295928e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.26          	U             	(5.655639e-01 -9.302916e-01 -1.915907e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.521602e+00 8.693538e-01 6.091996e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.26          	p             	-2.184586e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.301627e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.27          	U             	(5.633469e-01 -9.300720e-01 -1.908718e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.509250e+00 8.562386e-01 5.974819e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.27          	p             	-2.196131e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.295102e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.28          	U             	(5.630809e-01 -9.245209e-01 -1.939408e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.537369e+00 8.455391e-01 6.260549e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.28          	p             	-2.096780e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.304321e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.29          	U             	(5.676982e-01 -9.283592e-01 -1.920469e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.536522e+00 8.669897e-01 6.332781e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.29          	p             	-2.137999e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.293379e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.3           	U             	(5.658533e-01 -9.306393e-01 -1.913744e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.513637e+00 8.614376e-01 5.962989e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.3           	p             	-2.204723e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.296477e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.31          	U             	(5.599416e-01 -9.271328e-01 -1.911202e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.524377e+00 8.475398e-01 6.128185e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.31          	p             	-2.160026e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.298827e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.32          	U             	(5.664220e-01 -9.259891e-01 -1.939693e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.540862e+00 8.531130e-01 6.358211e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.32          	p             	-2.102691e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.303656e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.33          	U             	(5.685513e-01 -9.294253e-01 -1.922153e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.525139e+00 8.629703e-01 6.181258e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.33          	p             	-2.172520e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.291945e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.34          	U             	(5.613497e-01 -9.307256e-01 -1.904373e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.512209e+00 8.643099e-01 5.944727e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.34          	p             	-2.204642e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.301320e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.35          	U             	(5.636090e-01 -9.251155e-01 -1.932228e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.533357e+00 8.406733e-01 6.251841e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.35          	p             	-2.108866e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.301520e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
1.36          	U             	(5.682005e-01 -9.260419e-01 -1.932421e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.535788e+00 8.669809e-01 6.388165e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
1.36          	p             	-2.134613e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.290365e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
