# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
0.16          	U             	(5.630873e-01 -9.276477e-01 -1.895691e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.508494e+00 8.617551e-01 5.974523e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.16          	p             	-2.199276e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.277207e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.17          	U             	(5.603486e-01 -9.249618e-01 -1.889859e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.524034e+00 8.489620e-01 6.292824e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.17          	p             	-2.145372e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.272901e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.18          	U             	(5.678122e-01 -9.249708e-01 -1.918566e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.534373e+00 8.552988e-01 6.454015e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.18          	p             	-2.131564e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.277889e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.19          	U             	(5.655660e-01 -9.289287e-01 -1.911166e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.520658e+00 8.695478e-01 6.066179e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.19          	p             	-2.188894e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.290449e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.2           	U             	(5.614060e-01 -9.295933e-01 -1.895482e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.509810e+00 8.596905e-01 6.036996e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.2           	p             	-2.190070e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.289684e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.21          	U             	(5.651666e-01 -9.244357e-01 -1.932172e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.532366e+00 8.549769e-01 6.351019e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.21          	p             	-2.105982e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.293877e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
