# Solver information
# Time        	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
0.01          	DICPCG	2.084630e-02	7.190390e-04	3	true
0.0101        	DICPCG	1.971390e-02	6.291170e-04	3	true
0.0102        	DICPCG	2.016680e-02	7.595190e-04	3	true
0.0103        	DICPCG	3.142330e-02	8.999970e-04	3	true
0.0104        	DICPCG	2.344490e-02	5.819950e-04	3	true
0.0105        	DICPCG	2.260560e-02	7.812090e-04	3	true
0.0106        	DICPCG	1.936420e-02	6.740380e-04	3	true
0.0107        	DICPCG	1.929220e-02	8.039810e-04	3	true
0.0108        	DICPCG	2.224780e-02	9.508130e-04	3	true
0.0109        	DICPCG	2.387770e-02	1.081000e-03	2	true
0.011         	DICPCG	2.904810e-02	1.422610e-03	2	true
0.0111        	DICPCG	2.836770e-02	8.172120e-04	3	true
0.0112        	DICPCG	2.400280e-02	8.961410e-04	3	true
0.0113        	DICPCG	2.872740e-02	1.035880e-03	3	true
0.0114        	DICPCG	2.321730e-02	6.669760e-04	3	true
0.0115        	DICPCG	2.578480e-02	1.018660e-03	3	true
0.0116        	DICPCG	1.883170e-02	7.204670e-04	4	true
0.0117        	DICPCG	2.427100e-02	8.181740e-04	3	true
0.0118        	DICPCG	2.053660e-02	8.556480e-04	3	true
0.0119        	DICPCG	2.505480e-02	9.293450e-04	3	true
0.012         	DICPCG	2.198090e-02	9.093770e-04	3	true
0.0121        	DICPCG	2.428560e-02	1.202850e-03	2	true
0.0122        	DICPCG	2.106060e-02	8.383420e-04	3	true
0.0123        	DICPCG	2.027470e-02	7.896000e-04	3	true
0.0124        	DICPCG	2.786500e-02	9.202690e-04	3	true
0.0125        	DICPCG	2.734320e-02	1.032150e-03	3	true
0.0126        	DICPCG	3.973480e-02	1.172670e-03	3	true
0.0127        	DICPCG	2.732280e-02	9.783620e-04	3	true
0.0128        	DICPCG	1.684490e-02	7.028590e-04	3	true
0.0129        	DICPCG	2.979040e-02	8.538700e-04	3	true
0.013         	DICPCG	2.276930e-02	8.097540e-04	3	true
0.0131        	DICPCG	2.545280e-02	1.016140e-03	3	true
0.0132        	DICPCG	2.704840e-02	1.027570e-03	3	true
0.0133        	DICPCG	2.478560e-02	7.990340e-04	3	true
0.0134        	DICPCG	1.992440e-02	8.922100e-04	3	true
0.0135        	DICPCG	2.170480e-02	8.676170e-04	3	true
0.0136        	DICPCG	2.198940e-02	9.388260e-04	3	true
0.0137        	DICPCG	2.288060e-02	8.972940e-04	3	true
0.0138        	DICPCG	2.183360e-02	7.840880e-04	4	true
0.0139        	DICPCG	2.155240e-02	1.030850e-03	3	true
0.014         	DICPCG	1.849500e-02	6.562850e-04	3	true
0.0141        	DICPCG	2.403950e-02	1.035070e-03	3	true
0.0142        	DICPCG	2.185780e-02	9.988100e-04	3	true
0.0143        	DICPCG	2.280110e-02	8.503310e-04	3	true
0.0144        	DICPCG	2.319600e-02	1.158780e-03	3	true
0.0145        	DICPCG	2.938060e-02	1.104190e-03	3	true
0.0146        	DICPCG	2.922330e-02	1.334530e-03	3	true
0.0147        	DICPCG	2.230860e-02	9.506230e-04	3	true
0.0148        	DICPCG	2.194580e-02	9.077380e-04	3	true
0.0149        	DICPCG	1.870220e-02	6.452530e-04	4	true
0.015         	DICPCG	2.054320e-02	9.721510e-04	3	true
0.0151        	DICPCG	2.092490e-02	9.558710e-04	3	true
0.0152        	DICPCG	2.302130e-02	1.042560e-03	3	true
0.0153        	DICPCG	2.469310e-02	7.136300e-04	4	true
0.0154        	DICPCG	2.229620e-02	9.832240e-04	3	true
0.0155        	DICPCG	2.268550e-02	7.296040e-04	4	true
0.0156        	DICPCG	2.326510e-02	1.078850e-03	3	true
0.0157        	DICPCG	2.334450e-02	1.032980e-03	3	true
0.0158        	DICPCG	2.024090e-02	9.820980e-04	3	true
0.0159        	DICPCG	2.022500e-02	8.172720e-04	3	true
0.016         	DICPCG	2.087660e-02	1.011260e-03	3	true
0.0161        	DICPCG	1.686580e-02	7.978060e-04	4	true
0.0162        	DICPCG	1.817470e-02	9.062950e-04	3	true
0.0163        	DICPCG	1.879580e-02	7.089800e-04	3	true
0.0164        	DICPCG	2.025920e-02	7.379360e-04	3	true
0.0165        	DICPCG	2.143420e-02	8.894880e-04	3	true
0.0166        	DICPCG	2.020940e-02	8.033740e-04	4	true
0.0167        	DICPCG	2.282810e-02	8.311120e-04	3	true
0.0168        	DICPCG	2.687940e-02	9.716260e-04	3	true
0.0169        	DICPCG	1.837950e-02	9.174390e-04	3	true
0.017         	DICPCG	2.017540e-02	8.742620e-04	3	true
0.0171        	DICPCG	1.858370e-02	7.282700e-04	4	true
0.0172        	DICPCG	2.341620e-02	9.887880e-04	4	true
0.0173        	DICPCG	2.611290e-02	1.243590e-03	3	true
0.0174        	DICPCG	2.478610e-02	1.002920e-03	3	true
0.0175        	DICPCG	2.432780e-02	9.426870e-04	3	true
0.0176        	DICPCG	2.300010e-02	1.091400e-03	3	true
0.0177        	DICPCG	2.259360e-02	9.843710e-04	3	true
0.0178        	DICPCG	1.903460e-02	8.280320e-04	4	true
0.0179        	DICPCG	2.496240e-02	7.303670e-04	4	true
0.018         	DICPCG	1.968910e-02	9.791420e-04	3	true
0.0181        	DICPCG	2.433720e-02	1.109720e-03	3	true
0.0182        	DICPCG	2.122210e-02	7.640480e-04	3	true
0.0183        	DICPCG	2.502910e-02	1.122390e-03	3	true
0.0184        	DICPCG	2.742680e-02	1.058570e-03	3	true
0.0185        	DICPCG	3.255200e-02	1.237740e-03	3	true
0.0186        	DICPCG	2.740110e-02	1.158130e-03	3	true
0.0187        	DICPCG	2.823060e-02	9.144230e-04	4	true
0.0188        	DICPCG	2.595070e-02	1.137200e-03	4	true
0.0189        	DICPCG	2.749590e-02	1.019740e-03	3	true
0.019         	DICPCG	2.345250e-02	8.093600e-04	4	true
0.0191        	DICPCG	2.250120e-02	8.414160e-04	4	true
0.0192        	DICPCG	2.577440e-02	1.267440e-03	3	true
0.0193        	DICPCG	2.342790e-02	1.059580e-03	4	true
0.0194        	DICPCG	2.549420e-02	9.317260e-04	4	true
0.0195        	DICPCG	3.394970e-02	1.676870e-03	3	true
0.0196        	DICPCG	2.198710e-02	9.547920e-04	3	true
0.0197        	DICPCG	2.730220e-02	1.168080e-03	3	true
0.0198        	DICPCG	2.464330e-02	9.472630e-04	4	true
0.0199        	DICPCG	2.287680e-02	9.194100e-04	4	true
0.02          	DICPCG	3.093130e-02	1.247820e-03	3	true
0.0201        	DICPCG	1.870910e-02	7.787860e-04	6	true
0.0202        	DICPCG	2.042650e-02	9.157640e-04	4	true
0.0203        	DICPCG	2.026470e-02	9.626080e-04	5	true
0.0204        	DICPCG	1.778020e-02	7.343500e-04	4	true
0.0205        	DICPCG	2.038500e-02	8.211460e-04	5	true
0.0206        	DICPCG	2.014900e-02	7.891950e-04	4	true
0.0207        	DICPCG	2.133360e-02	7.975380e-04	4	true
0.0208        	DICPCG	2.108450e-02	8.545890e-04	6	true
0.0209        	DICPCG	1.771470e-02	8.332840e-04	4	true
0.021         	DICPCG	1.624420e-02	7.512090e-04	5	true
0.0211        	DICPCG	2.182230e-02	9.687880e-04	4	true
0.0212        	DICPCG	2.401620e-02	8.647370e-04	4	true
0.0213        	DICPCG	2.503910e-02	1.064160e-03	3	true
0.0214        	DICPCG	2.549280e-02	1.167280e-03	3	true
0.0215        	DICPCG	2.321450e-02	1.129180e-03	3	true
0.0216        	DICPCG	2.277220e-02	1.062580e-03	4	true
0.0217        	DICPCG	2.292800e-02	1.116570e-03	4	true
0.0218        	DICPCG	2.217080e-02	8.430200e-04	4	true
0.0219        	DICPCG	2.020180e-02	8.196770e-04	4	true
0.022         	DICPCG	2.009840e-02	9.921080e-04	4	true
0.0221        	DICPCG	2.310710e-02	8.837280e-04	4	true
0.0222        	DICPCG	1.852000e-02	8.713030e-04	4	true
0.0223        	DICPCG	1.645810e-02	7.304020e-04	5	true
