# Region type : patch outlet
# Faces       : 52
# Area        : 1.000000e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
4.31          	(1.998010e+00 -5.834032e-01 1.231938e-23)
4.32          	(2.000361e+00 -6.472982e-01 1.687776e-23)
4.33          	(2.001589e+00 -5.995715e-02 1.730527e-23)
4.34          	(1.998840e+00 5.440594e-01 -1.483536e-23)
4.35          	(2.002473e+00 6.672238e-01 5.475116e-23)
4.36          	(2.000268e+00 9.412184e-02 1.707567e-23)
4.37          	(1.999839e+00 -4.943330e-01 1.415166e-23)
4.38          	(1.997721e+00 -6.800467e-01 6.569421e-24)
4.39          	(2.003444e+00 -3.530841e-01 2.614900e-23)
4.4           	(2.000247e+00 3.873329e-01 -3.702707e-24)
4.41          	(1.996713e+00 6.025941e-01 1.500717e-23)
4.42          	(2.001999e+00 4.093951e-01 3.610076e-23)
4.43          	(1.999559e+00 -3.223190e-01 1.262194e-23)
4.44          	(1.997230e+00 -6.212846e-01 9.887089e-24)
4.45          	(2.004111e+00 -5.948790e-01 2.462641e-23)
4.46          	(2.000953e+00 9.687045e-02 1.070338e-23)
4.47          	(1.997948e+00 5.653301e-01 -1.368451e-23)
4.48          	(2.002953e+00 6.456834e-01 5.556508e-23)
4.49          	(1.999962e+00 -7.624029e-02 1.451865e-23)
4.5           	(1.998967e+00 -5.381782e-01 1.330381e-23)
4.51          	(1.997033e+00 -6.559376e-01 1.085908e-23)
4.52          	(2.002375e+00 -2.011821e-01 2.256849e-23)
4.53          	(1.999834e+00 5.084042e-01 -1.137391e-23)
4.54          	(1.998600e+00 6.496809e-01 4.046442e-23)
4.55          	(2.001493e+00 2.360375e-01 2.481088e-23)
4.56          	(2.000064e+00 -4.286678e-01 1.368159e-23)
4.57          	(1.997353e+00 -6.672944e-01 6.946338e-24)
4.58          	(2.004406e+00 -4.715997e-01 2.748941e-23)
4.59          	(2.000141e+00 2.708520e-01 2.732503e-24)
4.6           	(1.997496e+00 5.804424e-01 -1.695461e-24)
4.61          	(2.002909e+00 5.319368e-01 4.650585e-23)
4.62          	(1.999807e+00 -2.331729e-01 1.343515e-23)
4.63          	(1.998006e+00 -5.888852e-01 1.171260e-23)
4.64          	(2.001461e+00 -6.381600e-01 1.933060e-23)
4.65          	(2.001304e+00 -3.229344e-02 1.602154e-23)
4.66          	(1.998988e+00 5.520612e-01 -1.591237e-23)
4.67          	(2.003033e+00 6.709619e-01 5.605010e-23)
4.68          	(2.000169e+00 5.909292e-02 1.635866e-23)
4.69          	(1.999943e+00 -5.094292e-01 1.467973e-23)
4.7           	(1.997539e+00 -6.765135e-01 7.812149e-24)
4.71          	(2.003013e+00 -3.205009e-01 2.582239e-23)
4.72          	(2.000390e+00 4.234674e-01 -5.608888e-24)
4.73          	(1.996623e+00 6.101100e-01 1.963328e-23)
4.74          	(2.001940e+00 3.742778e-01 3.492269e-23)
4.75          	(1.999633e+00 -3.417782e-01 1.345639e-23)
4.76          	(1.997129e+00 -6.338394e-01 9.019751e-24)
4.77          	(2.004145e+00 -5.776396e-01 2.558537e-23)
4.78          	(2.000827e+00 1.334543e-01 8.439048e-24)
4.79          	(1.997668e+00 5.698089e-01 -1.146897e-23)
4.8           	(2.003149e+00 6.246089e-01 5.380905e-23)
4.81          	(1.999938e+00 -1.188940e-01 1.403378e-23)
4.82          	(1.998899e+00 -5.492955e-01 1.276501e-23)
4.83          	(1.998266e+00 -6.573309e-01 1.228777e-23)
4.84          	(2.002642e+00 -1.425524e-01 2.086290e-23)
4.85          	(1.999173e+00 5.120392e-01 -1.414218e-23)
4.86          	(2.000144e+00 6.541308e-01 4.694446e-23)
4.87          	(2.001136e+00 1.929589e-01 2.100890e-23)
4.88          	(1.999865e+00 -4.502338e-01 1.405509e-23)
4.89          	(1.997499e+00 -6.752336e-01 7.303419e-24)
4.9           	(2.004095e+00 -4.320535e-01 2.747349e-23)
4.91          	(2.000226e+00 3.133355e-01 7.022087e-26)
4.92          	(1.997146e+00 5.898733e-01 4.480587e-24)
4.93          	(2.002656e+00 4.864078e-01 4.276223e-23)
4.94          	(1.999811e+00 -2.671376e-01 1.293580e-23)
4.95          	(1.997697e+00 -5.989120e-01 1.093652e-23)
4.96          	(2.002514e+00 -6.278469e-01 2.134526e-23)
4.97          	(2.001427e+00 1.719451e-02 1.293633e-23)
4.98          	(1.998149e+00 5.595073e-01 -1.629608e-23)
4.99          	(2.003112e+00 6.682578e-01 5.790321e-23)
5             	(1.999805e+00 5.385555e-03 1.509101e-23)
