# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
0.0041        	smoothSolver	1.156160e-03	3.326530e-06	1	2.011140e-03	1.845720e-07	2	false	DICPCG	2.668670e-02	7.446420e-04	3	true
0.0042        	smoothSolver	1.146790e-03	3.321930e-06	1	1.982870e-03	9.615190e-06	1	false	DICPCG	2.747010e-02	7.611110e-04	3	true
0.0043        	smoothSolver	1.138130e-03	3.250580e-06	1	1.983340e-03	2.067450e-07	2	false	DICPCG	2.567240e-02	7.659930e-04	3	true
0.0044        	smoothSolver	1.136290e-03	3.138780e-06	1	1.982780e-03	9.913880e-06	1	false	DICPCG	3.952330e-02	1.282840e-03	3	true
0.0045        	smoothSolver	1.137500e-03	3.118660e-06	1	1.958920e-03	9.860900e-06	1	false	DICPCG	3.039090e-02	1.395050e-03	2	true
0.0046        	smoothSolver	1.128420e-03	2.917980e-06	1	1.933140e-03	8.707130e-06	1	false	DICPCG	2.751980e-02	6.116280e-04	3	true
0.0047        	smoothSolver	1.136660e-03	2.897300e-06	1	1.980950e-03	8.938930e-06	1	false	DICPCG	3.527000e-02	9.404570e-04	3	true
0.0048        	smoothSolver	1.133150e-03	2.902200e-06	1	1.970190e-03	9.028870e-06	1	false	DICPCG	3.253300e-02	9.893940e-04	3	true
0.0049        	smoothSolver	1.127610e-03	2.898590e-06	1	1.947230e-03	9.113220e-06	1	false	DICPCG	3.070410e-02	1.196900e-03	2	true
0.005         	smoothSolver	1.128280e-03	3.164410e-06	1	1.926040e-03	9.098470e-06	1	false	DICPCG	3.029470e-02	1.409830e-03	2	true
0.0051        	smoothSolver	1.122710e-03	3.175810e-06	1	1.903750e-03	9.431970e-06	1	false	DICPCG	3.133600e-02	1.330840e-03	2	true
0.0052        	smoothSolver	1.117000e-03	3.062740e-06	1	1.944200e-03	2.086310e-07	2	false	DICPCG	3.509410e-02	9.801450e-04	3	true
0.0053        	smoothSolver	1.111510e-03	3.329600e-06	1	1.868660e-03	9.518400e-06	1	false	DICPCG	3.050240e-02	1.002290e-03	3	true
0.0054        	smoothSolver	1.106590e-03	3.241220e-06	1	1.880740e-03	9.309080e-06	1	false	DICPCG	2.772810e-02	8.744680e-04	3	true
0.0055        	smoothSolver	1.105860e-03	3.286000e-06	1	1.850390e-03	9.389420e-06	1	false	DICPCG	2.451280e-02	8.937160e-04	3	true
0.0056        	smoothSolver	1.102200e-03	3.172820e-06	1	1.876280e-03	9.879520e-06	1	false	DICPCG	2.797200e-02	1.037850e-03	3	true
0.0057        	smoothSolver	1.090520e-03	3.179950e-06	1	1.818930e-03	9.531010e-06	1	false	DICPCG	2.253710e-02	8.629260e-04	3	true
0.0058        	smoothSolver	1.083100e-03	3.046890e-06	1	1.859110e-03	9.586070e-06	1	false	DICPCG	2.456310e-02	1.216040e-03	2	true
0.0059        	smoothSolver	1.077310e-03	3.037940e-06	1	1.836100e-03	9.510950e-06	1	false	DICPCG	2.529770e-02	1.087690e-03	2	true
0.006         	smoothSolver	1.070480e-03	2.979120e-06	1	1.817310e-03	9.182320e-06	1	false	DICPCG	2.334940e-02	7.654890e-04	3	true
0.0061        	smoothSolver	1.071330e-03	2.893980e-06	1	1.812410e-03	8.502660e-06	1	false	DICPCG	1.972270e-02	5.239760e-04	3	true
0.0062        	smoothSolver	1.073330e-03	2.911290e-06	1	1.914890e-03	8.417090e-06	1	false	DICPCG	3.213150e-02	1.012890e-03	3	true
0.0063        	smoothSolver	1.082870e-03	2.971180e-06	1	1.887900e-03	8.307100e-06	1	false	DICPCG	2.127380e-02	8.952770e-04	3	true
0.0064        	smoothSolver	1.091580e-03	2.941730e-06	1	1.914210e-03	9.015280e-06	1	false	DICPCG	2.573490e-02	8.920730e-04	3	true
0.0065        	smoothSolver	1.086940e-03	2.936260e-06	1	1.899930e-03	9.388660e-06	1	false	DICPCG	2.615940e-02	9.195690e-04	3	true
0.0066        	smoothSolver	1.080870e-03	3.070670e-06	1	1.871500e-03	9.293230e-06	1	false	DICPCG	2.353370e-02	1.037270e-03	2	true
0.0067        	smoothSolver	1.075150e-03	3.067420e-06	1	1.796870e-03	9.116280e-06	1	false	DICPCG	2.447030e-02	9.662960e-04	3	true
0.0068        	smoothSolver	1.071760e-03	3.066000e-06	1	1.815700e-03	8.925050e-06	1	false	DICPCG	2.778870e-02	1.361660e-03	2	true
0.0069        	smoothSolver	1.064550e-03	2.918670e-06	1	1.771490e-03	8.866640e-06	1	false	DICPCG	2.698840e-02	1.033200e-03	3	true
0.007         	smoothSolver	1.064130e-03	2.896600e-06	1	1.753090e-03	8.145960e-06	1	false	DICPCG	2.189090e-02	6.453720e-04	3	true
0.0071        	smoothSolver	1.059190e-03	2.840840e-06	1	1.771510e-03	8.467420e-06	1	false	DICPCG	2.524800e-02	6.924760e-04	3	true
0.0072        	smoothSolver	1.063790e-03	2.742860e-06	1	1.739050e-03	7.964470e-06	1	false	DICPCG	2.146490e-02	1.034940e-03	2	true
0.0073        	smoothSolver	1.058980e-03	2.692990e-06	1	1.708870e-03	7.841640e-06	1	false	DICPCG	2.005350e-02	5.918020e-04	3	true
0.0074        	smoothSolver	1.054540e-03	2.639660e-06	1	1.741930e-03	7.594410e-06	1	false	DICPCG	2.633430e-02	7.651480e-04	3	true
0.0075        	smoothSolver	1.062150e-03	2.747350e-06	1	1.722160e-03	7.524870e-06	1	false	DICPCG	2.617120e-02	1.052330e-03	3	true
0.0076        	smoothSolver	1.058530e-03	2.646270e-06	1	1.735130e-03	7.239730e-06	1	false	DICPCG	2.490850e-02	9.210080e-04	3	true
0.0077        	smoothSolver	1.059410e-03	2.693400e-06	1	1.717900e-03	7.276430e-06	1	false	DICPCG	2.681630e-02	8.722930e-04	3	true
0.0078        	smoothSolver	1.059140e-03	2.693770e-06	1	1.708160e-03	7.252470e-06	1	false	DICPCG	2.473490e-02	9.067790e-04	3	true
0.0079        	smoothSolver	1.061160e-03	2.686390e-06	1	1.752760e-03	7.237500e-06	1	false	DICPCG	2.995900e-02	1.286400e-03	3	true
0.008         	smoothSolver	1.066930e-03	2.707560e-06	1	1.703710e-03	7.009250e-06	1	false	DICPCG	2.130700e-02	7.661010e-04	3	true
0.0081        	smoothSolver	1.061020e-03	2.660810e-06	1	1.763020e-03	7.885530e-06	1	false	DICPCG	2.626090e-02	9.213580e-04	3	true
0.0082        	smoothSolver	1.067780e-03	2.691490e-06	1	1.752500e-03	8.030570e-06	1	false	DICPCG	3.230540e-02	8.438270e-04	3	true
0.0083        	smoothSolver	1.068990e-03	2.822340e-06	1	1.768380e-03	8.148720e-06	1	false	DICPCG	2.661910e-02	1.184540e-03	2	true
0.0084        	smoothSolver	1.071570e-03	2.929950e-06	1	1.778530e-03	7.594380e-06	1	false	DICPCG	2.434420e-02	1.056580e-03	2	true
0.0085        	smoothSolver	1.076560e-03	3.052340e-06	1	1.816530e-03	8.460660e-06	1	false	DICPCG	2.639230e-02	1.002450e-03	3	true
0.0086        	smoothSolver	1.077200e-03	3.005620e-06	1	1.799110e-03	8.186970e-06	1	false	DICPCG	1.670650e-02	5.944090e-04	3	true
0.0087        	smoothSolver	1.076370e-03	2.968640e-06	1	1.805280e-03	8.746680e-06	1	false	DICPCG	1.862280e-02	8.388510e-04	3	true
0.0088        	smoothSolver	1.077130e-03	2.942250e-06	1	1.797120e-03	8.254910e-06	1	false	DICPCG	1.884270e-02	7.349410e-04	3	true
0.0089        	smoothSolver	1.072900e-03	2.922440e-06	1	1.807030e-03	8.536720e-06	1	false	DICPCG	2.281830e-02	7.490810e-04	3	true
0.009         	smoothSolver	1.080450e-03	2.931500e-06	1	1.803200e-03	8.792960e-06	1	false	DICPCG	2.048840e-02	6.698250e-04	3	true
0.0091        	smoothSolver	1.081970e-03	2.955370e-06	1	1.826830e-03	8.957870e-06	1	false	DICPCG	2.315490e-02	1.130670e-03	2	true
0.0092        	smoothSolver	1.082260e-03	2.908440e-06	1	1.808320e-03	8.496310e-06	1	false	DICPCG	1.815460e-02	6.200380e-04	3	true
0.0093        	smoothSolver	1.084500e-03	2.882570e-06	1	1.787470e-03	8.264880e-06	1	false	DICPCG	1.882930e-02	7.327930e-04	3	true
0.0094        	smoothSolver	1.084240e-03	2.868400e-06	1	1.828570e-03	8.796760e-06	1	false	DICPCG	2.148870e-02	8.465840e-04	3	true
0.0095        	smoothSolver	1.088950e-03	2.946130e-06	1	1.798070e-03	8.852260e-06	1	false	DICPCG	2.004040e-02	6.598400e-04	3	true
0.0096        	smoothSolver	1.091630e-03	3.001360e-06	1	1.777750e-03	8.840850e-06	1	false	DICPCG	1.957160e-02	8.362040e-04	3	true
0.0097        	smoothSolver	1.095080e-03	3.006960e-06	1	1.770620e-03	7.946030e-06	1	false	DICPCG	1.889890e-02	6.904340e-04	3	true
0.0098        	smoothSolver	1.093220e-03	3.014650e-06	1	1.746880e-03	7.739740e-06	1	false	DICPCG	1.434290e-02	5.568790e-04	4	true
0.0099        	smoothSolver	1.095090e-03	2.981390e-06	1	1.763290e-03	8.035350e-06	1	false	DICPCG	2.064100e-02	6.849370e-04	3	true
0.01          	smoothSolver	1.096520e-03	3.083710e-06	1	1.768480e-03	8.193090e-06	1	false	DICPCG	2.084630e-02	7.190390e-04	3	true
0.0101        	smoothSolver	1.096890e-03	3.125500e-06	1	1.774510e-03	8.050100e-06	1	false	DICPCG	1.971390e-02	6.291170e-04	3	true
0.0102        	smoothSolver	1.098230e-03	3.141600e-06	1	1.760810e-03	8.107460e-06	1	false	DICPCG	2.016680e-02	7.595190e-04	3	true
0.0103        	smoothSolver	1.109640e-03	3.141140e-06	1	1.864590e-03	8.345920e-06	1	false	DICPCG	3.142330e-02	8.999970e-04	3	true
0.0104        	smoothSolver	1.115450e-03	3.327790e-06	1	1.763990e-03	7.928370e-06	1	false	DICPCG	2.344490e-02	5.819950e-04	3	true
0.0105        	smoothSolver	1.113000e-03	3.099190e-06	1	1.801270e-03	7.811840e-06	1	false	DICPCG	2.260560e-02	7.812090e-04	3	true
0.0106        	smoothSolver	1.120310e-03	3.122720e-06	1	1.779580e-03	7.718250e-06	1	false	DICPCG	1.936420e-02	6.740380e-04	3	true
0.0107        	smoothSolver	1.124930e-03	3.198340e-06	1	1.781370e-03	7.702710e-06	1	false	DICPCG	1.929220e-02	8.039810e-04	3	true
0.0108        	smoothSolver	1.127450e-03	3.296000e-06	1	1.792430e-03	7.456550e-06	1	false	DICPCG	2.224780e-02	9.508130e-04	3	true
0.0109        	smoothSolver	1.131240e-03	3.410400e-06	1	1.773780e-03	7.741690e-06	1	false	DICPCG	2.387770e-02	1.081000e-03	2	true
0.011         	smoothSolver	1.137890e-03	3.425300e-06	1	1.775800e-03	7.368120e-06	1	false	DICPCG	2.904810e-02	1.422610e-03	2	true
0.0111        	smoothSolver	1.136480e-03	3.247230e-06	1	1.828500e-03	8.814510e-06	1	false	DICPCG	2.836770e-02	8.172120e-04	3	true
0.0112        	smoothSolver	1.138120e-03	3.256630e-06	1	1.858280e-03	9.488910e-06	1	false	DICPCG	2.400280e-02	8.961410e-04	3	true
0.0113        	smoothSolver	1.146100e-03	3.260630e-06	1	1.829950e-03	9.537690e-06	1	false	DICPCG	2.872740e-02	1.035880e-03	3	true
0.0114        	smoothSolver	1.147250e-03	3.208050e-06	1	1.811630e-03	9.131310e-06	1	false	DICPCG	2.321730e-02	6.669760e-04	3	true
0.0115        	smoothSolver	1.149900e-03	3.225920e-06	1	1.841570e-03	9.555630e-06	1	false	DICPCG	2.578480e-02	1.018660e-03	3	true
0.0116        	smoothSolver	1.154080e-03	3.230130e-06	1	1.797070e-03	8.876060e-06	1	false	DICPCG	1.883170e-02	7.204670e-04	4	true
0.0117        	smoothSolver	1.150230e-03	3.115490e-06	1	1.794420e-03	8.666510e-06	1	false	DICPCG	2.427100e-02	8.181740e-04	3	true
0.0118        	smoothSolver	1.154810e-03	3.114140e-06	1	1.782140e-03	8.404030e-06	1	false	DICPCG	2.053660e-02	8.556480e-04	3	true
0.0119        	smoothSolver	1.154320e-03	3.106110e-06	1	1.798420e-03	8.235040e-06	1	false	DICPCG	2.505480e-02	9.293450e-04	3	true
0.012         	smoothSolver	1.158890e-03	3.197520e-06	1	1.772710e-03	8.300820e-06	1	false	DICPCG	2.198090e-02	9.093770e-04	3	true
0.0121        	smoothSolver	1.156620e-03	3.107440e-06	1	1.750520e-03	7.788500e-06	1	false	DICPCG	2.428560e-02	1.202850e-03	2	true
0.0122        	smoothSolver	1.157120e-03	3.265040e-06	1	1.746720e-03	7.851160e-06	1	false	DICPCG	2.106060e-02	8.383420e-04	3	true
0.0123        	smoothSolver	1.154250e-03	3.367660e-06	1	1.734110e-03	7.738910e-06	1	false	DICPCG	2.027470e-02	7.896000e-04	3	true
0.0124        	smoothSolver	1.156720e-03	3.387150e-06	1	1.797270e-03	7.644890e-06	1	false	DICPCG	2.786500e-02	9.202690e-04	3	true
0.0125        	smoothSolver	1.163550e-03	3.458400e-06	1	1.790530e-03	7.715750e-06	1	false	DICPCG	2.734320e-02	1.032150e-03	3	true
0.0126        	smoothSolver	1.170060e-03	3.403870e-06	1	2.017510e-03	9.406710e-06	1	false	DICPCG	3.973480e-02	1.172670e-03	3	true
0.0127        	smoothSolver	1.189060e-03	3.423180e-06	1	1.922210e-03	8.196980e-06	1	false	DICPCG	2.732280e-02	9.783620e-04	3	true
