# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
0.68          	p             	-7.276681e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.907094e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.69          	U             	(-1.508107e+00 -5.836825e-01 -2.897895e-18)	(1.404205e-01 2.281677e-02 -1.025000e-02)	0	(2.989206e+00 2.224086e+00 5.270497e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.69          	p             	-8.847365e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.583962e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.7           	U             	(4.743263e-01 -8.029618e-01 -2.047223e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.034837e+00 2.279907e+00 6.612205e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.7           	p             	-9.028444e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	3.992647e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.71          	U             	(4.942732e-01 -9.100561e-01 -2.178640e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.911658e+00 2.241250e+00 3.797065e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.71          	p             	-6.899037e+00	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	4.491551e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.72          	U             	(5.164563e-01 -1.131233e+00 -1.842968e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.740055e+00 2.102799e+00 2.469020e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.72          	p             	-9.055189e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.234486e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
0.73          	U             	(-1.424629e-01 -9.880354e-01 -3.493996e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.677448e+00 2.043196e+00 2.715940e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.73          	p             	-9.441421e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.043901e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
0.74          	U             	(-1.427775e-01 -1.142879e+00 -2.513876e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.759889e+00 2.027495e+00 3.375658e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.74          	p             	-7.637815e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.391847e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.75          	U             	(-1.519276e+00 -6.085128e-01 -2.707710e-18)	(1.404205e-01 2.281677e-02 -1.025000e-02)	0	(2.922328e+00 2.169706e+00 3.857990e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.75          	p             	-8.043694e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.929053e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.76          	U             	(4.600196e-01 -8.134167e-01 -2.165625e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.993919e+00 2.305281e+00 6.553686e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.76          	p             	-9.279793e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.189075e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.77          	U             	(4.710331e-01 -8.872785e-01 -2.059906e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.031372e+00 2.245464e+00 5.458329e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.77          	p             	-7.899858e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.180531e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.78          	U             	(5.593998e-01 -9.780299e-01 -2.001135e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.884506e+00 2.116764e+00 2.659793e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.78          	p             	-8.142567e+00	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	4.352596e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
0.79          	U             	(-1.487569e+00 -8.040532e-01 -6.221546e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.686195e+00 2.066063e+00 2.573665e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.79          	p             	-9.475780e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.066153e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
0.8           	U             	(-1.869709e-01 -1.130974e+00 -3.193065e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.677337e+00 2.047723e+00 3.288268e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.8           	p             	-8.597431e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.110212e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.81          	U             	(-1.368673e+00 -4.581412e-01 -3.153853e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.831978e+00 2.114550e+00 2.943643e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.81          	p             	-7.471058e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	5.071790e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.82          	U             	(-1.533278e+00 -5.531633e-01 -3.218519e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(3.005814e+00 2.251075e+00 5.707760e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.82          	p             	-9.098857e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.427864e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.83          	U             	(5.050289e-01 -8.207638e-01 -2.035824e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.027979e+00 2.276525e+00 6.189462e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.83          	p             	-8.676469e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.021780e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.84          	U             	(5.105576e-01 -8.963886e-01 -2.160918e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.895260e+00 2.202089e+00 3.115854e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.84          	p             	-7.375607e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.511863e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.85          	U             	(5.862293e-01 -1.158054e+00 -1.817613e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.714622e+00 2.083456e+00 2.550067e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.85          	p             	-9.248038e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.138636e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
0.86          	U             	(-1.610072e-01 -1.076458e+00 -3.511347e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.659735e+00 2.011504e+00 2.860784e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.86          	p             	-9.210847e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.104273e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.87          	U             	(-1.439350e+00 -5.464422e-01 -3.992564e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.746911e+00 2.100666e+00 3.098943e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.87          	p             	-7.301541e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.725782e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.88          	U             	(-1.554144e+00 -5.506397e-01 -2.865324e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.919787e+00 2.196241e+00 4.802746e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.88          	p             	-8.614292e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.749556e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.89          	U             	(4.406789e-01 -8.252394e-01 -2.109552e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.990173e+00 2.312792e+00 6.674255e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.89          	p             	-9.210926e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.057291e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.9           	U             	(4.823898e-01 -8.752938e-01 -2.145909e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.952384e+00 2.252709e+00 4.317004e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.9           	p             	-7.261831e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.415725e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.91          	U             	(5.881121e-01 -1.040978e+00 -1.911941e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.773221e+00 2.115027e+00 2.573258e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.91          	p             	-8.716167e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.231944e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
0.92          	U             	(-1.375023e-01 -8.873901e-01 -3.501672e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.685135e+00 2.029190e+00 2.536773e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.92          	p             	-9.490111e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.054806e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.93          	U             	(-1.616289e-01 -1.163132e+00 -2.797935e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.639548e+00 2.083817e+00 3.539576e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.93          	p             	-8.078772e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.237725e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.94          	U             	(-1.535053e+00 -5.396029e-01 -2.846338e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.861322e+00 2.135278e+00 3.398046e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.94          	p             	-7.816504e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	5.055790e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.95          	U             	(4.573171e-01 -8.634609e-01 -2.198672e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.979642e+00 2.277455e+00 6.279075e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.95          	p             	-9.267774e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.300661e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.96          	U             	(5.165285e-01 -8.024931e-01 -2.072560e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(4.112453e+00 1.599212e+00 5.760008e-19)	(1.219773e-01 7.038514e-02 -1.025000e-02)	0
0.96          	p             	-8.407172e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.120226e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.97          	U             	(4.970589e-01 -1.006040e+00 -2.045646e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.839126e+00 2.179525e+00 2.701756e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.97          	p             	-7.887768e+00	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	4.427134e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
0.98          	U             	(6.362172e-01 -1.115478e+00 -1.813041e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.689776e+00 2.082490e+00 2.473722e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.98          	p             	-9.381727e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.089373e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
0.99          	U             	(-1.827153e-01 -1.116839e+00 -3.333240e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.667878e+00 2.041486e+00 3.152148e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.99          	p             	-8.876953e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.087807e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1             	U             	(-1.322706e+00 -4.497959e-01 -3.388114e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.815356e+00 2.132434e+00 2.887752e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1             	p             	-7.381748e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.982772e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.01          	U             	(-1.530268e+00 -5.463675e-01 -3.010157e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.955834e+00 2.244080e+00 5.443868e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.01          	p             	-8.918924e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.595450e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.02          	U             	(4.602947e-01 -8.061549e-01 -2.026572e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.000702e+00 2.292695e+00 6.618940e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.02          	p             	-8.895060e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	3.977920e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.03          	U             	(4.590124e-01 -9.355588e-01 -2.198888e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.968781e+00 2.185457e+00 3.244971e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.03          	p             	-7.078643e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.551570e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.04          	U             	(5.180919e-01 -1.167022e+00 -1.824081e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.727972e+00 2.090887e+00 2.480623e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.04          	p             	-9.049755e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.200774e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
1.05          	U             	(-1.443110e-01 -1.021595e+00 -3.461663e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.670329e+00 2.029118e+00 2.782331e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.05          	p             	-9.365086e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.045480e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.06          	U             	(-1.362751e-01 -1.117848e+00 -2.357156e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.742796e+00 2.075161e+00 3.296761e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.06          	p             	-7.398248e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.494094e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.07          	U             	(-1.569949e+00 -5.549773e-01 -2.865112e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.918327e+00 2.192951e+00 4.165205e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.07          	p             	-8.190581e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.848255e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.08          	U             	(4.664617e-01 -8.407753e-01 -2.121273e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.071527e+00 2.265305e+00 6.469286e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.08          	p             	-9.118880e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.150723e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.09          	U             	(4.848682e-01 -8.254349e-01 -2.139906e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.984673e+00 2.264945e+00 5.053400e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.09          	p             	-7.655547e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.233994e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.1           	U             	(4.729835e-01 -1.075833e+00 -1.919043e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.826677e+00 2.146667e+00 2.745362e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.1           	p             	-8.367657e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.308110e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
1.11          	U             	(-1.488585e+00 -8.057654e-01 -6.186537e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.654324e+00 2.054133e+00 2.563946e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.11          	p             	-9.476329e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.058325e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
1.12          	U             	(-1.850831e-01 -1.144134e+00 -3.110362e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.719223e+00 2.038177e+00 3.373914e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.12          	p             	-8.451455e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.149778e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
1.13          	U             	(6.004862e-01 -1.018989e+00 -2.562529e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.899941e+00 2.130338e+00 3.126347e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.13          	p             	-7.596924e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	5.081539e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.14          	U             	(4.522969e-01 -8.734217e-01 -2.265331e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(4.078299e+00 1.716066e+00 6.146176e-19)	(1.219773e-01 7.038514e-02 -1.025000e-02)	0
1.14          	p             	-9.205305e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.408453e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.15          	U             	(4.909079e-01 -8.212221e-01 -2.035626e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.994637e+00 2.303779e+00 6.184805e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.15          	p             	-8.679106e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.023737e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.16          	U             	(4.819165e-01 -9.603131e-01 -2.108856e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.903345e+00 2.189863e+00 2.972987e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.16          	p             	-7.504025e+00	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	4.490624e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.17          	U             	(5.723964e-01 -1.156820e+00 -1.828802e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.692084e+00 2.086699e+00 2.438931e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.17          	p             	-9.318149e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.163169e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
1.18          	U             	(-1.694910e-01 -1.090911e+00 -3.451679e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.657851e+00 2.056208e+00 3.052910e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.18          	p             	-9.069518e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.024527e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.19          	U             	(-1.398806e+00 -5.157553e-01 -3.793477e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.815684e+00 2.088111e+00 3.093524e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.19          	p             	-7.309132e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.779840e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.2           	U             	(-1.513108e+00 -5.910706e-01 -2.831261e-18)	(1.404205e-01 2.281677e-02 -1.025000e-02)	0	(2.917730e+00 2.221766e+00 5.008996e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.2           	p             	-8.706401e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.702565e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.21          	U             	(4.829798e-01 -7.875661e-01 -2.072976e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.961456e+00 2.321671e+00 6.672703e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.21          	p             	-9.433617e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.045328e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.22          	U             	(4.960516e-01 -9.062672e-01 -2.180609e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.888692e+00 2.287476e+00 3.768889e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.22          	p             	-7.007401e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.461002e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.23          	U             	(5.556530e-01 -1.089575e+00 -1.882037e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.787349e+00 2.100926e+00 2.593166e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.23          	p             	-8.877457e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.217285e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
1.24          	U             	(-1.412856e-01 -9.424047e-01 -3.486100e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.693492e+00 2.031775e+00 2.644639e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.24          	p             	-9.487608e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.049699e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
1.25          	U             	(-1.529096e-01 -1.149641e+00 -2.665088e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.709676e+00 2.045633e+00 3.423727e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.25          	p             	-7.853353e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.304050e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
1.26          	U             	(-1.565629e+00 -5.529821e-01 -2.822547e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.856587e+00 2.176234e+00 3.678569e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.26          	p             	-7.936100e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	5.006689e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.27          	U             	(4.764866e-01 -8.238531e-01 -2.187940e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.069677e+00 2.264655e+00 6.289331e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.27          	p             	-9.138337e+00	(1.303253e-01 6.984430e-02 -1.025000e-02)	0	4.235078e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.28          	U             	(4.970486e-01 -8.173503e-01 -2.097474e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.003411e+00 2.271636e+00 5.716698e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.28          	p             	-8.097174e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.140957e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.29          	U             	(5.132530e-01 -9.940727e-01 -2.004531e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.887129e+00 2.127387e+00 2.959459e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.29          	p             	-8.049320e+00	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	4.372218e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
1.3           	U             	(-1.476758e+00 -8.025654e-01 -6.218460e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.719901e+00 2.048930e+00 2.546344e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.3           	p             	-9.387342e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.053837e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
1.31          	U             	(-1.861454e-01 -1.123590e+00 -3.296738e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.697668e+00 2.001927e+00 3.221730e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.31          	p             	-8.712880e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.104148e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
1.32          	U             	(-1.319653e+00 -4.428569e-01 -3.284688e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.796250e+00 2.123584e+00 2.800601e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.32          	p             	-7.426806e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	5.048638e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.33          	U             	(5.018175e-01 -8.683672e-01 -2.337152e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.954945e+00 2.253972e+00 5.640901e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.33          	p             	-9.114029e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.516729e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.34          	U             	(4.989446e-01 -8.120817e-01 -2.037877e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.000548e+00 2.283393e+00 6.406741e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.34          	p             	-8.985673e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	3.996548e+00	(1.079755e-01 4.263860e-02 -1.025000e-02)	0
1.35          	U             	(4.896763e-01 -8.909214e-01 -2.185535e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.947581e+00 2.213424e+00 3.379964e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.35          	p             	-7.153693e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.554541e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.36          	U             	(5.707065e-01 -1.152632e+00 -1.825642e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.728444e+00 2.052120e+00 2.431220e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.36          	p             	-9.153872e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.179134e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
