# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
0.16          	U             	(-1.482328e+00 -6.726315e-01 -5.986166e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.764912e+00 2.055610e+00 3.034805e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.16          	p             	-8.642596e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.105962e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.17          	U             	(-1.483594e-01 -8.373380e-01 -2.531697e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.774981e+00 2.074183e+00 3.395289e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.17          	p             	-7.358161e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.406648e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.18          	U             	(-1.630749e+00 -5.916493e-01 -3.456304e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.930575e+00 2.183523e+00 3.981639e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.18          	p             	-7.962345e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.763032e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.19          	U             	(4.845723e-01 -8.596768e-01 -2.130458e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.006557e+00 2.227685e+00 5.920570e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.19          	p             	-8.606704e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.193956e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.2           	U             	(5.102017e-01 -9.168585e-01 -2.009999e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.947863e+00 2.234150e+00 4.940531e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.2           	p             	-7.976627e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.099497e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.21          	U             	(5.675885e-01 -1.003894e+00 -2.009066e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.829476e+00 2.146431e+00 2.959525e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.21          	p             	-8.005373e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.296446e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.22          	U             	(-1.501262e+00 -6.961574e-01 -6.096803e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.746142e+00 2.065342e+00 2.748195e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.22          	p             	-8.732226e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.192934e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
0.23          	U             	(-1.452307e+00 -5.397773e-01 -5.212399e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.745077e+00 2.079851e+00 4.217668e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.23          	p             	-7.955440e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.018982e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.24          	U             	(-1.628590e+00 -5.901162e-01 -3.573978e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.868212e+00 2.157459e+00 4.629898e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.24          	p             	-8.209371e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.529913e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.25          	U             	(5.200815e-01 -8.594538e-01 -2.406287e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.945443e+00 2.236086e+00 4.901581e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.25          	p             	-8.610622e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.598148e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.26          	U             	(4.922195e-01 -8.535305e-01 -1.956631e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.956777e+00 2.269736e+00 5.587157e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.26          	p             	-8.058138e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.010683e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.27          	U             	(6.048178e-01 -9.152128e-01 -2.080364e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.870881e+00 2.114842e+00 2.821984e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.27          	p             	-7.860914e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.375051e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.28          	U             	(-1.483265e+00 -7.534041e-01 -6.206754e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.732089e+00 2.072260e+00 2.679432e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.28          	p             	-9.116545e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.125579e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
0.29          	U             	(-1.816435e-01 -1.056347e+00 -3.290657e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.723808e+00 2.041547e+00 3.729602e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.29          	p             	-8.481360e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.050214e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.3           	U             	(-1.006028e-01 -8.268850e-01 -1.793826e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.882023e+00 2.121146e+00 4.074265e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.3           	p             	-7.939458e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.587520e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.31          	U             	(-1.546670e+00 -5.618236e-01 -3.088118e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.964640e+00 2.255303e+00 5.047291e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.31          	p             	-8.806304e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.735852e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.32          	U             	(4.938606e-01 -8.094703e-01 -2.010508e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.004376e+00 2.288221e+00 6.270491e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.32          	p             	-8.638539e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.018411e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.33          	U             	(5.244048e-01 -9.297935e-01 -2.141483e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.907343e+00 2.172399e+00 2.999513e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.33          	p             	-7.431727e+00	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	4.480509e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
0.34          	U             	(5.571081e-01 -1.192520e+00 -1.810153e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.785216e+00 2.053938e+00 2.470546e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.34          	p             	-9.084704e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.141094e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
0.35          	U             	(-1.623194e-01 -1.058492e+00 -3.435090e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.708519e+00 2.009279e+00 3.138042e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.35          	p             	-9.027391e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.058164e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.36          	U             	(-1.356206e+00 -4.847452e-01 -3.975840e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.790604e+00 2.050813e+00 3.616935e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.36          	p             	-7.568745e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.524169e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.37          	U             	(5.110817e-01 -8.884160e-01 -2.506014e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.989384e+00 2.220020e+00 4.598789e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.37          	p             	-8.595399e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.836436e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.38          	U             	(5.056229e-01 -8.202650e-01 -2.092555e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.030620e+00 2.272211e+00 6.391689e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.38          	p             	-9.102573e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.102543e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
