# Region type : patch outlet
# Faces       : 52
# Area        : 1.000000e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
0.4           	(1.999486e+00 -1.418905e-01 2.285375e-24)
0.41          	(1.999771e+00 -8.096049e-03 -3.576190e-24)
0.42          	(1.999593e+00 1.341799e-01 -6.539401e-24)
0.43          	(1.999738e+00 -5.058497e-02 2.908004e-24)
0.44          	(1.999575e+00 -1.051978e-01 -6.885053e-25)
0.45          	(1.999803e+00 9.329659e-02 -6.644144e-24)
0.46          	(1.999988e+00 7.913812e-02 -2.450014e-25)
0.47          	(1.999688e+00 -1.304392e-01 3.565583e-24)
0.48          	(1.999668e+00 -3.394597e-02 -2.414038e-24)
0.49          	(1.999644e+00 1.401745e-01 -7.276913e-24)
0.5           	(1.999754e+00 -2.195718e-02 2.364913e-24)
0.51          	(1.999719e+00 -1.226545e-01 -6.633305e-26)
0.52          	(1.999735e+00 6.219663e-02 -5.703735e-24)
0.53          	(1.999935e+00 1.001658e-01 -2.556608e-24)
0.54          	(1.999858e+00 -1.096294e-01 2.996208e-24)
0.55          	(1.999736e+00 -5.856849e-02 -2.071186e-24)
0.56          	(1.999843e+00 1.362002e-01 -7.348665e-24)
0.57          	(1.999870e+00 1.026425e-02 2.719644e-24)
0.58          	(1.999673e+00 -1.367355e-01 9.919341e-25)
0.59          	(1.999803e+00 2.624085e-02 -4.812087e-24)
0.6           	(1.999789e+00 1.186391e-01 -4.963472e-24)
0.61          	(1.999796e+00 -8.413314e-02 4.081661e-24)
0.62          	(1.999634e+00 -8.078434e-02 -1.858990e-24)
0.63          	(1.999950e+00 1.228071e-01 -6.980055e-24)
0.64          	(1.999910e+00 4.322967e-02 1.860454e-24)
0.65          	(1.999513e+00 -1.426853e-01 2.314083e-24)
0.66          	(1.999810e+00 -2.483835e-03 -3.828309e-24)
0.67          	(1.999618e+00 1.321506e-01 -6.200165e-24)
0.68          	(1.999739e+00 -5.574160e-02 3.416408e-24)
0.69          	(1.999574e+00 -1.019812e-01 -9.829264e-25)
0.7           	(1.999753e+00 9.915149e-02 -6.923547e-24)
0.71          	(1.999969e+00 7.423488e-02 4.203806e-25)
0.72          	(1.999624e+00 -1.345523e-01 3.312098e-24)
0.73          	(1.999730e+00 -2.918216e-02 -2.798197e-24)
0.74          	(1.999609e+00 1.391740e-01 -7.153261e-24)
0.75          	(1.999750e+00 -2.774685e-02 2.786255e-24)
0.76          	(1.999706e+00 -1.197106e-01 -1.583946e-25)
0.77          	(1.999739e+00 6.851116e-02 -6.120802e-24)
0.78          	(1.999975e+00 9.585761e-02 -2.321731e-24)
0.79          	(1.999873e+00 -1.139615e-01 3.577067e-24)
0.8           	(1.999704e+00 -5.335524e-02 -2.363627e-24)
0.81          	(1.999797e+00 1.385835e-01 -7.326000e-24)
0.82          	(1.999853e+00 2.276147e-03 2.741021e-24)
0.83          	(1.999714e+00 -1.335661e-01 6.986469e-25)
0.84          	(1.999805e+00 3.374076e-02 -5.026357e-24)
0.85          	(1.999823e+00 1.148003e-01 -4.304603e-24)
0.86          	(1.999801e+00 -8.923085e-02 3.980504e-24)
0.87          	(1.999645e+00 -7.706653e-02 -1.770915e-24)
0.88          	(1.999966e+00 1.263892e-01 -7.221327e-24)
0.89          	(1.999908e+00 3.628306e-02 2.012858e-24)
0.9           	(1.999484e+00 -1.418282e-01 1.965627e-24)
0.91          	(1.999793e+00 1.855309e-03 -4.065963e-24)
0.92          	(1.999639e+00 1.300244e-01 -5.797975e-24)
0.93          	(1.999770e+00 -6.106938e-02 3.637858e-24)
0.94          	(1.999595e+00 -9.834176e-02 -1.253050e-24)
0.95          	(1.999776e+00 1.043860e-01 -7.083713e-24)
0.96          	(1.999969e+00 6.855253e-02 9.120464e-25)
0.97          	(1.999572e+00 -1.367599e-01 3.146351e-24)
0.98          	(1.999675e+00 -2.253812e-02 -3.380989e-24)
0.99          	(1.999603e+00 1.390416e-01 -7.233781e-24)
1             	(1.999725e+00 -3.354294e-02 3.052551e-24)
1.01          	(1.999660e+00 -1.159468e-01 -3.923563e-25)
1.02          	(1.999745e+00 7.427197e-02 -6.127127e-24)
1.03          	(1.999981e+00 9.365655e-02 -1.739652e-24)
1.04          	(1.999805e+00 -1.188480e-01 3.599546e-24)
1.05          	(1.999714e+00 -4.882645e-02 -2.479159e-24)
1.06          	(1.999807e+00 1.393238e-01 -7.491252e-24)
1.07          	(1.999841e+00 -3.066450e-03 2.977475e-24)
1.08          	(1.999713e+00 -1.324059e-01 7.361091e-25)
1.09          	(1.999820e+00 3.896309e-02 -5.202853e-24)
1.1           	(1.999842e+00 1.122144e-01 -4.142570e-24)
1.11          	(1.999829e+00 -9.396960e-02 4.159265e-24)
1.12          	(1.999644e+00 -7.289911e-02 -1.877837e-24)
1.13          	(1.999927e+00 1.285330e-01 -7.074956e-24)
1.14          	(1.999909e+00 3.119543e-02 1.849558e-24)
1.15          	(1.999529e+00 -1.410827e-01 1.818214e-24)
1.16          	(1.999828e+00 6.362521e-03 -4.120106e-24)
1.17          	(1.999676e+00 1.274227e-01 -5.644222e-24)
1.18          	(1.999759e+00 -6.584354e-02 3.490422e-24)
1.19          	(1.999586e+00 -9.483436e-02 -9.924981e-25)
1.2           	(1.999897e+00 1.080853e-01 -7.059470e-24)
1.21          	(1.999942e+00 6.479551e-02 1.219086e-24)
1.22          	(1.999554e+00 -1.395914e-01 2.873263e-24)
1.23          	(1.999694e+00 -1.869473e-02 -3.169604e-24)
1.24          	(1.999593e+00 1.378082e-01 -7.135335e-24)
1.25          	(1.999711e+00 -3.763352e-02 3.170917e-24)
1.26          	(1.999631e+00 -1.129020e-01 -3.656400e-25)
1.27          	(1.999784e+00 7.963521e-02 -6.106444e-24)
1.28          	(1.999997e+00 8.965736e-02 -1.401729e-24)
1.29          	(1.999784e+00 -1.221074e-01 3.511481e-24)
1.3           	(1.999738e+00 -4.582551e-02 -2.533162e-24)
1.31          	(1.999753e+00 1.404374e-01 -7.164327e-24)
1.32          	(1.999819e+00 -7.717720e-03 2.904625e-24)
1.33          	(1.999733e+00 -1.297014e-01 3.638437e-25)
1.34          	(1.999767e+00 4.519310e-02 -5.482217e-24)
1.35          	(1.999878e+00 1.090717e-01 -3.770461e-24)
1.36          	(1.999836e+00 -9.797075e-02 4.077704e-24)
1.37          	(1.999645e+00 -6.984877e-02 -2.037941e-24)
1.38          	(1.999936e+00 1.317887e-01 -7.240258e-24)
1.39          	(1.999921e+00 2.609263e-02 2.486631e-24)
1.4           	(1.999591e+00 -1.418750e-01 1.852354e-24)
1.41          	(1.999833e+00 1.191839e-02 -4.496369e-24)
1.42          	(1.999718e+00 1.251318e-01 -5.586893e-24)
1.43          	(1.999763e+00 -7.054629e-02 3.748458e-24)
1.44          	(1.999607e+00 -9.090806e-02 -1.417656e-24)
1.45          	(1.999851e+00 1.127073e-01 -7.162870e-24)
1.46          	(1.999927e+00 5.841439e-02 1.312555e-24)
1.47          	(1.999498e+00 -1.404279e-01 2.543308e-24)
1.48          	(1.999727e+00 -1.542526e-02 -3.425745e-24)
1.49          	(1.999567e+00 1.362942e-01 -6.878566e-24)
1.5           	(1.999717e+00 -4.272366e-02 3.166715e-24)
1.51          	(1.999628e+00 -1.094405e-01 -4.202122e-25)
1.52          	(1.999791e+00 8.714079e-02 -6.516774e-24)
1.53          	(2.000003e+00 8.465862e-02 -9.341925e-25)
1.54          	(1.999762e+00 -1.255387e-01 3.649767e-24)
1.55          	(1.999680e+00 -4.091671e-02 -2.633402e-24)
1.56          	(1.999692e+00 1.407005e-01 -7.146308e-24)
1.57          	(1.999797e+00 -1.220263e-02 2.695214e-24)
1.58          	(1.999710e+00 -1.276689e-01 2.434109e-25)
1.59          	(1.999770e+00 5.063914e-02 -5.620624e-24)
1.6           	(1.999885e+00 1.068081e-01 -3.092179e-24)
1.61          	(1.999851e+00 -1.031103e-01 3.295479e-24)
1.62          	(1.999721e+00 -6.530541e-02 -2.462851e-24)
1.63          	(1.999903e+00 1.338746e-01 -7.339191e-24)
1.64          	(1.999866e+00 2.005813e-02 2.819369e-24)
1.65          	(1.999611e+00 -1.399462e-01 1.373533e-24)
1.66          	(1.999809e+00 1.649058e-02 -4.656800e-24)
1.67          	(1.999745e+00 1.231973e-01 -5.339471e-24)
1.68          	(1.999776e+00 -7.515959e-02 3.854406e-24)
1.69          	(1.999617e+00 -8.835636e-02 -1.627391e-24)
1.7           	(1.999918e+00 1.161436e-01 -7.094727e-24)
1.71          	(1.999932e+00 5.493410e-02 1.266117e-24)
1.72          	(1.999571e+00 -1.407078e-01 2.575495e-24)
1.73          	(1.999718e+00 -1.171906e-02 -3.277889e-24)
1.74          	(1.999594e+00 1.354241e-01 -6.793786e-24)
1.75          	(1.999706e+00 -4.568887e-02 2.914570e-24)
1.76          	(1.999646e+00 -1.079795e-01 -4.880685e-25)
1.77          	(1.999775e+00 9.126522e-02 -6.595280e-24)
1.78          	(2.000009e+00 8.178989e-02 -8.008391e-25)
1.79          	(1.999691e+00 -1.283041e-01 3.434902e-24)
1.8           	(1.999715e+00 -3.853519e-02 -2.653792e-24)
1.81          	(1.999671e+00 1.412677e-01 -7.092238e-24)
1.82          	(1.999908e+00 -1.993142e-02 2.571753e-24)
1.83          	(1.999749e+00 -1.273359e-01 1.368699e-25)
1.84          	(1.999769e+00 5.559636e-02 -5.575109e-24)
1.85          	(1.999922e+00 1.033480e-01 -2.804515e-24)
1.86          	(1.999859e+00 -1.056289e-01 3.229109e-24)
1.87          	(1.999669e+00 -6.133055e-02 -2.308363e-24)
1.88          	(1.999904e+00 1.359786e-01 -7.342381e-24)
1.89          	(1.999901e+00 1.452437e-02 3.273225e-24)
1.9           	(1.999642e+00 -1.383760e-01 1.204340e-24)
1.91          	(1.999853e+00 2.222864e-02 -4.746198e-24)
1.92          	(1.999780e+00 1.200920e-01 -5.193507e-24)
1.93          	(1.999808e+00 -8.095799e-02 4.053313e-24)
1.94          	(1.999671e+00 -8.294073e-02 -1.651741e-24)
1.95          	(1.999917e+00 1.199417e-01 -6.826133e-24)
1.96          	(1.999876e+00 4.677735e-02 1.655877e-24)
1.97          	(1.999492e+00 -1.418080e-01 2.249385e-24)
1.98          	(1.999774e+00 -7.442395e-03 -3.551012e-24)
1.99          	(1.999584e+00 1.337241e-01 -6.690469e-24)
2             	(1.999705e+00 -5.101072e-02 2.978724e-24)
2.01          	(1.999615e+00 -1.050763e-01 -5.310849e-25)
2.02          	(1.999776e+00 9.529948e-02 -6.921504e-24)
2.03          	(1.999991e+00 7.833323e-02 -4.899506e-26)
2.04          	(1.999643e+00 -1.311512e-01 3.512741e-24)
2.05          	(1.999703e+00 -3.322735e-02 -2.390766e-24)
2.06          	(1.999594e+00 1.399550e-01 -7.275681e-24)
2.07          	(1.999750e+00 -2.273733e-02 2.709787e-24)
2.08          	(1.999718e+00 -1.220825e-01 3.704622e-26)
2.09          	(1.999736e+00 6.191165e-02 -5.689119e-24)
2.1           	(1.999937e+00 1.011572e-01 -2.588783e-24)
2.11          	(1.999881e+00 -1.096668e-01 3.248832e-24)
2.12          	(1.999707e+00 -5.876843e-02 -2.354863e-24)
2.13          	(1.999855e+00 1.369912e-01 -7.429505e-24)
2.14          	(1.999877e+00 9.996656e-03 2.755192e-24)
2.15          	(1.999686e+00 -1.365842e-01 1.076430e-24)
2.16          	(1.999838e+00 2.712883e-02 -4.926141e-24)
2.17          	(1.999790e+00 1.175721e-01 -4.826988e-24)
2.18          	(1.999786e+00 -8.378213e-02 4.110791e-24)
2.19          	(1.999645e+00 -8.064856e-02 -1.714414e-24)
2.2           	(1.999895e+00 1.227559e-01 -6.994765e-24)
2.21          	(1.999908e+00 4.297439e-02 1.772330e-24)
2.22          	(1.999513e+00 -1.424014e-01 2.277186e-24)
2.23          	(1.999780e+00 -2.184335e-03 -3.808067e-24)
2.24          	(1.999615e+00 1.315113e-01 -6.162152e-24)
2.25          	(1.999751e+00 -5.577905e-02 3.326374e-24)
2.26          	(1.999589e+00 -1.018710e-01 -1.085606e-24)
2.27          	(1.999862e+00 9.883373e-02 -6.855736e-24)
2.28          	(1.999978e+00 7.461832e-02 1.722827e-25)
2.29          	(1.999635e+00 -1.332153e-01 3.402435e-24)
2.3           	(1.999706e+00 -2.981579e-02 -2.733481e-24)
2.31          	(1.999630e+00 1.395126e-01 -7.158731e-24)
2.32          	(1.999722e+00 -2.654361e-02 2.751087e-24)
2.33          	(1.999702e+00 -1.200365e-01 -1.568228e-25)
2.34          	(1.999741e+00 6.638293e-02 -5.874646e-24)
2.35          	(1.999959e+00 9.859965e-02 -2.451631e-24)
2.36          	(1.999821e+00 -1.125212e-01 3.638472e-24)
2.37          	(1.999724e+00 -5.490303e-02 -2.337923e-24)
2.38          	(1.999837e+00 1.379652e-01 -7.301218e-24)
2.39          	(1.999858e+00 5.533064e-03 2.985555e-24)
2.4           	(1.999673e+00 -1.359746e-01 1.114521e-24)
2.41          	(1.999901e+00 3.153394e-02 -5.057319e-24)
2.42          	(1.999834e+00 1.159347e-01 -4.452090e-24)
2.43          	(1.999794e+00 -8.854506e-02 3.894634e-24)
2.44          	(1.999643e+00 -7.839140e-02 -1.858066e-24)
2.45          	(1.999932e+00 1.253603e-01 -7.187041e-24)
2.46          	(1.999891e+00 3.826901e-02 1.849830e-24)
2.47          	(1.999501e+00 -1.417099e-01 2.100037e-24)
2.48          	(1.999790e+00 2.127187e-05 -3.800390e-24)
2.49          	(1.999617e+00 1.306190e-01 -5.841362e-24)
2.5           	(1.999751e+00 -5.905050e-02 3.666859e-24)
2.51          	(1.999613e+00 -9.957175e-02 -1.081005e-24)
2.52          	(1.999812e+00 1.028054e-01 -6.985992e-24)
2.53          	(1.999971e+00 7.010143e-02 6.735809e-25)
2.54          	(1.999562e+00 -1.357498e-01 3.096630e-24)
2.55          	(1.999711e+00 -2.570038e-02 -3.202264e-24)
2.56          	(1.999597e+00 1.389085e-01 -7.170469e-24)
2.57          	(1.999718e+00 -3.151227e-02 3.088343e-24)
2.58          	(1.999671e+00 -1.173300e-01 -2.288954e-25)
2.59          	(1.999756e+00 7.297195e-02 -6.202433e-24)
2.6           	(1.999992e+00 9.397834e-02 -2.107661e-24)
2.61          	(1.999817e+00 -1.166116e-01 3.537422e-24)
2.62          	(1.999709e+00 -5.001647e-02 -2.445873e-24)
2.63          	(1.999763e+00 1.393141e-01 -7.443520e-24)
2.64          	(1.999839e+00 -1.261751e-03 2.884127e-24)
2.65          	(1.999701e+00 -1.331575e-01 7.413563e-25)
2.66          	(1.999822e+00 3.717723e-02 -5.077720e-24)
2.67          	(1.999835e+00 1.133267e-01 -4.222456e-24)
2.68          	(1.999822e+00 -9.278256e-02 3.978428e-24)
2.69          	(1.999658e+00 -7.461661e-02 -1.932338e-24)
2.7           	(1.999916e+00 1.288335e-01 -7.209761e-24)
2.71          	(1.999915e+00 3.231941e-02 1.983091e-24)
2.72          	(1.999525e+00 -1.409143e-01 1.904838e-24)
2.73          	(1.999818e+00 4.916033e-03 -4.000699e-24)
2.74          	(1.999652e+00 1.278483e-01 -5.575409e-24)
2.75          	(1.999776e+00 -6.462114e-02 3.668372e-24)
2.76          	(1.999613e+00 -9.661026e-02 -1.128510e-24)
2.77          	(1.999867e+00 1.072114e-01 -7.008875e-24)
2.78          	(1.999934e+00 6.672454e-02 1.556413e-24)
2.79          	(1.999571e+00 -1.392515e-01 2.926960e-24)
2.8           	(1.999686e+00 -2.050517e-02 -3.317676e-24)
2.81          	(1.999599e+00 1.379410e-01 -7.123412e-24)
2.82          	(1.999738e+00 -3.642269e-02 3.013299e-24)
2.83          	(1.999628e+00 -1.142403e-01 -3.687102e-25)
2.84          	(1.999742e+00 7.810677e-02 -6.064600e-24)
2.85          	(1.999987e+00 9.065913e-02 -1.545245e-24)
2.86          	(1.999812e+00 -1.208151e-01 3.609956e-24)
2.87          	(1.999708e+00 -4.715431e-02 -2.547150e-24)
2.88          	(1.999741e+00 1.402746e-01 -7.293049e-24)
2.89          	(1.999881e+00 -6.244734e-03 2.911144e-24)
2.9           	(1.999704e+00 -1.325148e-01 9.820699e-25)
2.91          	(1.999834e+00 4.183423e-02 -5.373368e-24)
2.92          	(1.999883e+00 1.112849e-01 -3.970826e-24)
2.93          	(1.999823e+00 -9.620974e-02 4.202018e-24)
2.94          	(1.999675e+00 -7.057089e-02 -2.102511e-24)
2.95          	(1.999919e+00 1.310855e-01 -7.330855e-24)
2.96          	(1.999903e+00 2.727207e-02 2.543339e-24)
2.97          	(1.999553e+00 -1.413495e-01 1.816129e-24)
2.98          	(1.999892e+00 1.058773e-02 -4.128940e-24)
2.99          	(1.999712e+00 1.254773e-01 -5.678811e-24)
3             	(1.999787e+00 -6.976298e-02 3.516251e-24)
3.01          	(1.999598e+00 -9.140084e-02 -1.249662e-24)
3.02          	(1.999914e+00 1.117486e-01 -6.875550e-24)
3.03          	(1.999952e+00 5.910334e-02 1.197664e-24)
3.04          	(1.999506e+00 -1.389260e-01 2.683004e-24)
3.05          	(1.999738e+00 -1.910128e-02 -3.121304e-24)
3.06          	(1.999541e+00 1.366715e-01 -7.066969e-24)
3.07          	(1.999725e+00 -4.031055e-02 2.971018e-24)
3.08          	(1.999598e+00 -1.116853e-01 -6.197445e-25)
3.09          	(1.999782e+00 8.255585e-02 -6.283035e-24)
3.1           	(1.999988e+00 8.727960e-02 -1.017763e-24)
3.11          	(1.999764e+00 -1.239162e-01 3.746834e-24)
3.12          	(1.999686e+00 -4.285882e-02 -2.625091e-24)
3.13          	(1.999709e+00 1.406615e-01 -7.224378e-24)
3.14          	(1.999785e+00 -9.924731e-03 2.857634e-24)
3.15          	(1.999729e+00 -1.301958e-01 3.865066e-25)
3.16          	(1.999808e+00 4.850332e-02 -5.562110e-24)
3.17          	(1.999911e+00 1.078061e-01 -3.308743e-24)
3.18          	(1.999796e+00 -9.873772e-02 3.982314e-24)
3.19          	(1.999679e+00 -6.735733e-02 -2.243454e-24)
3.2           	(1.999916e+00 1.333963e-01 -7.328866e-24)
3.21          	(1.999903e+00 2.216826e-02 2.672047e-24)
3.22          	(1.999600e+00 -1.408246e-01 1.514713e-24)
3.23          	(1.999899e+00 1.586652e-02 -4.596796e-24)
3.24          	(1.999761e+00 1.225956e-01 -5.336349e-24)
3.25          	(1.999797e+00 -7.496019e-02 3.827211e-24)
3.26          	(1.999618e+00 -8.749546e-02 -1.580166e-24)
3.27          	(1.999939e+00 1.165131e-01 -7.109135e-24)
3.28          	(1.999910e+00 5.329290e-02 1.426762e-24)
3.29          	(1.999489e+00 -1.409675e-01 2.477632e-24)
3.3           	(1.999758e+00 -1.252988e-02 -3.425441e-24)
3.31          	(1.999567e+00 1.353422e-01 -6.835003e-24)
3.32          	(1.999702e+00 -4.548103e-02 2.895682e-24)
3.33          	(1.999585e+00 -1.085148e-01 -5.659422e-25)
3.34          	(1.999722e+00 8.925421e-02 -6.549208e-24)
3.35          	(1.999995e+00 8.321842e-02 -7.564730e-25)
3.36          	(1.999693e+00 -1.277380e-01 3.482729e-24)
3.37          	(1.999752e+00 -3.903655e-02 -2.571099e-24)
3.38          	(1.999652e+00 1.400272e-01 -7.242253e-24)
3.39          	(1.999767e+00 -1.561578e-02 2.645708e-24)
3.4           	(1.999717e+00 -1.264809e-01 1.290438e-25)
3.41          	(1.999775e+00 5.490370e-02 -5.784376e-24)
3.42          	(1.999927e+00 1.042569e-01 -2.757859e-24)
3.43          	(1.999813e+00 -1.052391e-01 3.383689e-24)
3.44          	(1.999666e+00 -6.188910e-02 -2.389035e-24)
3.45          	(1.999886e+00 1.356297e-01 -7.510838e-24)
3.46          	(1.999899e+00 1.464264e-02 3.255613e-24)
3.47          	(1.999639e+00 -1.381694e-01 1.164148e-24)
3.48          	(1.999863e+00 2.077226e-02 -4.565325e-24)
3.49          	(1.999763e+00 1.207080e-01 -5.106446e-24)
3.5           	(1.999799e+00 -7.947314e-02 3.734792e-24)
3.51          	(1.999660e+00 -8.489387e-02 -1.841148e-24)
3.52          	(1.999912e+00 1.193160e-01 -7.228705e-24)
3.53          	(1.999886e+00 4.904312e-02 1.629401e-24)
3.54          	(1.999503e+00 -1.417632e-01 2.506446e-24)
3.55          	(1.999787e+00 -8.382062e-03 -3.385051e-24)
3.56          	(1.999576e+00 1.351821e-01 -6.749108e-24)
3.57          	(1.999703e+00 -5.136376e-02 2.667931e-24)
3.58          	(1.999574e+00 -1.071216e-01 -4.711300e-25)
3.59          	(1.999747e+00 9.420853e-02 -6.629455e-24)
3.6           	(1.999994e+00 7.842192e-02 -5.185730e-25)
3.61          	(1.999674e+00 -1.303638e-01 3.565159e-24)
3.62          	(1.999695e+00 -3.560931e-02 -2.516579e-24)
3.63          	(1.999609e+00 1.403738e-01 -7.302948e-24)
3.64          	(1.999766e+00 -2.072993e-02 2.319851e-24)
3.65          	(1.999707e+00 -1.232079e-01 1.624087e-25)
3.66          	(1.999742e+00 6.070439e-02 -5.871122e-24)
3.67          	(1.999947e+00 1.007244e-01 -2.626702e-24)
3.68          	(1.999869e+00 -1.085289e-01 3.148664e-24)
3.69          	(1.999716e+00 -5.966027e-02 -1.997026e-24)
3.7           	(1.999794e+00 1.362288e-01 -7.446990e-24)
3.71          	(1.999893e+00 1.156889e-02 2.811632e-24)
3.72          	(1.999658e+00 -1.386356e-01 1.331911e-24)
3.73          	(1.999863e+00 2.464360e-02 -4.868053e-24)
3.74          	(1.999795e+00 1.198611e-01 -4.904298e-24)
3.75          	(1.999757e+00 -8.254871e-02 4.251002e-24)
3.76          	(1.999663e+00 -8.248239e-02 -1.795654e-24)
3.77          	(1.999891e+00 1.212137e-01 -6.994943e-24)
3.78          	(1.999909e+00 4.462928e-02 1.863488e-24)
3.79          	(1.999463e+00 -1.419640e-01 2.285545e-24)
3.8           	(1.999795e+00 -5.770791e-03 -3.731590e-24)
3.81          	(1.999608e+00 1.327428e-01 -6.369140e-24)
3.82          	(1.999767e+00 -5.343902e-02 2.984280e-24)
3.83          	(1.999582e+00 -1.030694e-01 -8.748085e-25)
3.84          	(1.999807e+00 9.649842e-02 -6.754094e-24)
3.85          	(1.999975e+00 7.680874e-02 -1.296579e-26)
3.86          	(1.999642e+00 -1.320682e-01 3.503736e-24)
3.87          	(1.999679e+00 -3.212244e-02 -2.715420e-24)
3.88          	(1.999656e+00 1.402771e-01 -7.188666e-24)
3.89          	(1.999747e+00 -2.352692e-02 2.790807e-24)
3.9           	(1.999688e+00 -1.219673e-01 -1.109583e-25)
3.91          	(1.999747e+00 6.428783e-02 -5.786763e-24)
3.92          	(1.999956e+00 1.001091e-01 -2.521803e-24)
3.93          	(1.999841e+00 -1.127910e-01 3.668611e-24)
3.94          	(1.999691e+00 -5.499819e-02 -2.370212e-24)
3.95          	(1.999854e+00 1.380954e-01 -7.302127e-24)
3.96          	(1.999865e+00 5.356500e-03 2.943367e-24)
3.97          	(1.999703e+00 -1.359687e-01 1.046438e-24)
3.98          	(1.999844e+00 3.087700e-02 -5.000640e-24)
3.99          	(1.999835e+00 1.159220e-01 -4.688810e-24)
4             	(1.999787e+00 -8.697341e-02 3.848114e-24)
4.01          	(1.999641e+00 -7.900587e-02 -1.941613e-24)
4.02          	(1.999931e+00 1.250299e-01 -7.235255e-24)
4.03          	(1.999902e+00 3.911503e-02 1.797157e-24)
4.04          	(1.999485e+00 -1.419873e-01 2.048336e-24)
4.05          	(1.999796e+00 -6.289946e-04 -3.880347e-24)
4.06          	(1.999623e+00 1.311015e-01 -5.983842e-24)
4.07          	(1.999694e+00 -5.784777e-02 3.629586e-24)
4.08          	(1.999597e+00 -1.005925e-01 -9.159558e-25)
4.09          	(1.999787e+00 1.028657e-01 -7.052819e-24)
4.1           	(1.999969e+00 7.122051e-02 6.899428e-25)
4.11          	(1.999589e+00 -1.354163e-01 3.208284e-24)
4.12          	(1.999652e+00 -2.492790e-02 -3.259837e-24)
4.13          	(1.999619e+00 1.388742e-01 -7.191541e-24)
4.14          	(1.999729e+00 -3.106458e-02 2.968152e-24)
4.15          	(1.999668e+00 -1.174329e-01 -2.842137e-25)
4.16          	(1.999734e+00 7.219679e-02 -6.089691e-24)
4.17          	(1.999980e+00 9.485844e-02 -2.130042e-24)
4.18          	(1.999831e+00 -1.168224e-01 3.426971e-24)
4.19          	(1.999724e+00 -5.163071e-02 -2.465145e-24)
4.2           	(1.999813e+00 1.392714e-01 -7.309180e-24)
4.21          	(1.999846e+00 1.139591e-04 2.918031e-24)
4.22          	(1.999712e+00 -1.338795e-01 7.164288e-25)
4.23          	(1.999826e+00 3.506382e-02 -5.146353e-24)
4.24          	(1.999829e+00 1.141076e-01 -4.224169e-24)
4.25          	(1.999805e+00 -9.092271e-02 3.975420e-24)
4.26          	(1.999669e+00 -7.582162e-02 -1.860423e-24)
4.27          	(1.999918e+00 1.281443e-01 -7.315897e-24)
4.28          	(1.999876e+00 3.427150e-02 2.122402e-24)
4.29          	(1.999531e+00 -1.420682e-01 1.901065e-24)
4.3           	(1.999783e+00 4.844917e-03 -4.133595e-24)
4.31          	(1.999655e+00 1.288532e-01 -5.647435e-24)
