# Region type : patch outlet
# Faces       : 52
# Area        : 1.000000e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
0.01          	(2.000034e+00 -5.090212e-05 1.865531e-24)
0.02          	(2.000028e+00 -3.409038e-05 8.996895e-25)
0.03          	(2.000010e+00 1.468736e-04 4.414893e-25)
0.04          	(1.999994e+00 -2.628653e-04 -3.230394e-28)
0.05          	(1.999971e+00 -2.489213e-04 -2.786225e-25)
0.06          	(1.999956e+00 -7.463511e-04 -4.025826e-25)
0.07          	(1.999935e+00 -1.309763e-03 -5.259756e-25)
0.08          	(1.999918e+00 -2.376069e-03 -5.939511e-25)
0.09          	(1.999913e+00 -3.875117e-03 -7.925192e-25)
0.1           	(1.999906e+00 -4.505898e-03 -9.872197e-25)
0.11          	(1.999920e+00 -1.576409e-03 -1.960838e-24)
0.12          	(1.999908e+00 5.826058e-03 -2.603559e-24)
0.13          	(1.999899e+00 4.128300e-03 -2.987039e-24)
0.14          	(1.999881e+00 -2.255370e-02 -3.323749e-24)
0.15          	(1.999923e+00 -4.196373e-02 -1.837787e-24)
0.16          	(1.999880e+00 2.721958e-02 -1.947361e-24)
0.17          	(1.999837e+00 6.720743e-02 -3.153956e-24)
0.18          	(1.999666e+00 -5.448024e-02 -3.913829e-24)
0.19          	(1.999771e+00 -9.400578e-02 -1.374251e-24)
0.2           	(1.999541e+00 7.629552e-02 -2.328965e-24)
0.21          	(1.999959e+00 9.006007e-02 -1.131058e-24)
0.22          	(1.999877e+00 -1.172123e-01 -6.729662e-25)
0.23          	(1.999804e+00 -5.477886e-02 -3.372125e-24)
0.24          	(1.999748e+00 1.449599e-01 -2.430747e-24)
0.25          	(1.999887e+00 5.386643e-03 -2.170534e-26)
0.26          	(1.999678e+00 -1.397167e-01 -6.712543e-25)
0.27          	(1.999867e+00 4.026918e-02 -4.272581e-24)
0.28          	(1.999855e+00 1.146468e-01 -1.057936e-24)
0.29          	(1.999669e+00 -9.546404e-02 1.978749e-24)
0.3           	(1.999663e+00 -7.013639e-02 -2.670556e-24)
0.31          	(1.999901e+00 1.359213e-01 -6.076675e-24)
0.32          	(1.999913e+00 2.079788e-02 2.131002e-24)
0.33          	(1.999658e+00 -1.409659e-01 5.907595e-25)
0.34          	(1.999878e+00 1.754738e-02 -4.625693e-24)
0.35          	(1.999769e+00 1.228520e-01 -4.633312e-24)
0.36          	(1.999753e+00 -7.799014e-02 3.049095e-24)
0.37          	(1.999620e+00 -8.592431e-02 -1.586446e-24)
0.38          	(1.999942e+00 1.192501e-01 -7.171138e-24)
0.39          	(1.999932e+00 4.936594e-02 1.549333e-24)
