# Solver information
# Time        	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
0.0001        	DICPCG	1.000000e+00	4.397260e-02	103	true
0.0002        	DICPCG	4.641170e-03	2.313370e-04	100	true
0.0003        	DICPCG	4.517140e-01	2.100360e-02	2	true
0.0004        	DICPCG	1.946230e-01	9.683310e-03	3	true
0.0005        	DICPCG	1.433480e-01	6.378930e-03	4	true
0.0006        	DICPCG	1.187610e-01	4.799590e-03	4	true
0.0007        	DICPCG	8.744130e-02	3.898170e-03	4	true
0.0008        	DICPCG	8.229350e-02	3.365530e-03	4	true
0.0009        	DICPCG	8.223390e-02	3.158090e-03	4	true
0.001         	DICPCG	7.303520e-02	2.980780e-03	4	true
0.0011        	DICPCG	6.786240e-02	2.991580e-03	4	true
0.0012        	DICPCG	5.713160e-02	2.402200e-03	4	true
0.0013        	DICPCG	5.443660e-02	1.762410e-03	4	true
0.0014        	DICPCG	4.875190e-02	2.378750e-03	3	true
0.0015        	DICPCG	4.218170e-02	2.002110e-03	3	true
0.0016        	DICPCG	4.270270e-02	1.875070e-03	3	true
0.0017        	DICPCG	4.605800e-02	1.820080e-03	3	true
0.0018        	DICPCG	3.707060e-02	1.619130e-03	3	true
0.0019        	DICPCG	3.742930e-02	1.264640e-03	4	true
0.002         	DICPCG	3.749460e-02	1.765850e-03	3	true
0.0021        	DICPCG	3.615460e-02	1.597290e-03	3	true
0.0022        	DICPCG	3.915410e-02	1.553230e-03	3	true
0.0023        	DICPCG	3.435330e-02	1.233270e-03	4	true
0.0024        	DICPCG	3.690540e-02	1.288010e-03	4	true
0.0025        	DICPCG	2.983340e-02	1.030550e-03	3	true
0.0026        	DICPCG	2.864720e-02	1.201420e-03	3	true
0.0027        	DICPCG	2.671040e-02	1.277100e-03	3	true
0.0028        	DICPCG	2.577070e-02	1.132860e-03	3	true
0.0029        	DICPCG	3.347840e-02	1.468930e-03	3	true
0.003         	DICPCG	2.407520e-02	8.329730e-04	3	true
0.0031        	DICPCG	2.279840e-02	9.798200e-04	3	true
0.0032        	DICPCG	2.654470e-02	1.149960e-03	4	true
0.0033        	DICPCG	2.736970e-02	9.864050e-04	5	true
0.0034        	DICPCG	2.382290e-02	9.352190e-04	4	true
0.0035        	DICPCG	2.033270e-02	1.013520e-03	3	true
0.0036        	DICPCG	2.429900e-02	1.137690e-03	3	true
0.0037        	DICPCG	1.914620e-02	8.226720e-04	4	true
0.0038        	DICPCG	1.551330e-02	7.693910e-04	4	true
0.0039        	DICPCG	1.757190e-02	7.333240e-04	4	true
0.004         	DICPCG	2.701310e-02	1.040820e-03	3	true
0.0041        	DICPCG	2.127020e-02	1.006810e-03	3	true
0.0042        	DICPCG	1.582160e-02	7.832560e-04	4	true
0.0043        	DICPCG	1.534650e-02	7.089260e-04	4	true
0.0044        	DICPCG	1.482890e-02	5.717100e-04	5	true
0.0045        	DICPCG	1.400430e-02	4.782250e-04	5	true
0.0046        	DICPCG	1.533400e-02	5.358210e-04	5	true
0.0047        	DICPCG	1.933150e-02	7.776540e-04	3	true
0.0048        	DICPCG	2.476730e-02	1.194350e-03	4	true
0.0049        	DICPCG	1.599660e-02	5.648590e-04	5	true
0.005         	DICPCG	1.406680e-02	4.567110e-04	5	true
0.0051        	DICPCG	1.964710e-02	8.894970e-04	5	true
0.0052        	DICPCG	1.469810e-02	7.013570e-04	4	true
0.0053        	DICPCG	1.577770e-02	7.467090e-04	4	true
0.0054        	DICPCG	1.664910e-02	7.323780e-04	3	true
0.0055        	DICPCG	1.302920e-02	4.707520e-04	5	true
0.0056        	DICPCG	1.359700e-02	4.911080e-04	5	true
0.0057        	DICPCG	1.405090e-02	5.176720e-04	5	true
0.0058        	DICPCG	3.150640e-02	1.137390e-03	3	true
0.0059        	DICPCG	2.163860e-02	1.012720e-03	3	true
0.006         	DICPCG	2.063190e-02	6.498890e-04	3	true
0.0061        	DICPCG	1.845020e-02	7.095520e-04	4	true
0.0062        	DICPCG	2.035510e-02	5.937950e-04	3	true
0.0063        	DICPCG	1.714220e-02	6.572100e-04	4	true
0.0064        	DICPCG	1.477360e-02	5.987890e-04	3	true
0.0065        	DICPCG	1.543120e-02	5.441970e-04	5	true
0.0066        	DICPCG	1.090250e-02	4.493120e-04	5	true
0.0067        	DICPCG	1.074370e-02	3.960970e-04	5	true
0.0068        	DICPCG	1.043100e-02	4.970360e-04	5	true
0.0069        	DICPCG	1.453080e-02	5.929210e-04	4	true
0.007         	DICPCG	9.713400e-03	4.169310e-04	5	true
0.0071        	DICPCG	2.144800e-02	7.879430e-04	3	true
0.0072        	DICPCG	1.456260e-02	7.036480e-04	3	true
0.0073        	DICPCG	1.462290e-02	5.092260e-04	4	true
0.0074        	DICPCG	2.056050e-02	8.143520e-04	4	true
0.0075        	DICPCG	2.307150e-02	9.468680e-04	3	true
0.0076        	DICPCG	1.491940e-02	6.111340e-04	5	true
0.0077        	DICPCG	1.881660e-02	7.360370e-04	3	true
0.0078        	DICPCG	1.683310e-02	5.997780e-04	3	true
0.0079        	DICPCG	1.150640e-02	4.035140e-04	4	true
0.008         	DICPCG	1.658330e-02	5.943290e-04	4	true
0.0081        	DICPCG	1.961830e-02	9.288130e-04	3	true
0.0082        	DICPCG	1.484710e-02	4.871990e-04	4	true
0.0083        	DICPCG	1.275710e-02	4.252940e-04	4	true
0.0084        	DICPCG	1.204010e-02	4.634270e-04	4	true
0.0085        	DICPCG	1.311840e-02	5.786800e-04	3	true
0.0086        	DICPCG	1.341060e-02	4.922690e-04	4	true
0.0087        	DICPCG	1.011190e-02	4.659190e-04	3	true
0.0088        	DICPCG	9.372010e-03	3.809360e-04	3	true
0.0089        	DICPCG	1.033750e-02	4.718560e-04	3	true
0.009         	DICPCG	9.703550e-03	3.432160e-04	4	true
0.0091        	DICPCG	8.995890e-03	3.944810e-04	5	true
0.0092        	DICPCG	1.399860e-02	5.750280e-04	6	true
0.0093        	DICPCG	9.829660e-03	3.773070e-04	4	true
0.0094        	DICPCG	1.484490e-02	7.305800e-04	2	true
0.0095        	DICPCG	1.214890e-02	4.888500e-04	3	true
0.0096        	DICPCG	1.030430e-02	4.686310e-04	3	true
0.0097        	DICPCG	1.455890e-02	7.126930e-04	3	true
0.0098        	DICPCG	1.088250e-02	5.295150e-04	3	true
0.0099        	DICPCG	1.227100e-02	5.536030e-04	3	true
0.01          	DICPCG	1.351560e-02	6.316430e-04	4	true
0.0101        	DICPCG	1.149580e-02	5.244450e-04	3	true
0.0102        	DICPCG	9.052780e-03	4.406470e-04	3	true
0.0103        	DICPCG	1.540040e-02	7.133670e-04	3	true
0.0104        	DICPCG	1.066630e-02	4.951450e-04	3	true
0.0105        	DICPCG	9.955970e-03	4.835870e-04	3	true
0.0106        	DICPCG	7.859440e-03	3.191060e-04	4	true
0.0107        	DICPCG	1.265430e-02	5.996890e-04	4	true
0.0108        	DICPCG	1.844340e-02	8.142470e-04	3	true
0.0109        	DICPCG	9.700700e-03	4.645460e-04	3	true
0.011         	DICPCG	1.695300e-02	6.336310e-04	6	true
0.0111        	DICPCG	1.795650e-02	7.669410e-04	3	true
0.0112        	DICPCG	9.557320e-03	4.713170e-04	3	true
0.0113        	DICPCG	8.476800e-03	3.094650e-04	4	true
0.0114        	DICPCG	7.893790e-03	3.259940e-04	4	true
0.0115        	DICPCG	6.446950e-03	2.583710e-04	5	true
0.0116        	DICPCG	6.614860e-03	2.899550e-04	5	true
0.0117        	DICPCG	6.094520e-03	3.006010e-04	5	true
0.0118        	DICPCG	6.247790e-03	2.602580e-04	5	true
0.0119        	DICPCG	5.599560e-03	2.589800e-04	5	true
0.012         	DICPCG	7.551330e-03	2.854490e-04	4	true
0.0121        	DICPCG	5.897290e-03	2.319960e-04	5	true
0.0122        	DICPCG	5.742650e-03	2.408180e-04	6	true
0.0123        	DICPCG	5.967070e-03	2.898200e-04	7	true
0.0124        	DICPCG	6.076400e-03	2.751150e-04	5	true
0.0125        	DICPCG	5.537740e-03	2.480920e-04	6	true
0.0126        	DICPCG	7.176340e-03	3.213490e-04	4	true
0.0127        	DICPCG	5.483600e-03	2.552230e-04	5	true
0.0128        	DICPCG	6.023870e-03	2.846490e-04	5	true
0.0129        	DICPCG	5.454110e-03	2.180460e-04	5	true
0.013         	DICPCG	5.510040e-03	2.301360e-04	5	true
0.0131        	DICPCG	5.853260e-03	2.284000e-04	5	true
0.0132        	DICPCG	5.385460e-03	2.099090e-04	5	true
0.0133        	DICPCG	5.622960e-03	2.249880e-04	5	true
0.0134        	DICPCG	4.839510e-03	2.144530e-04	6	true
0.0135        	DICPCG	5.550790e-03	2.538420e-04	5	true
0.0136        	DICPCG	6.127250e-03	3.053770e-04	4	true
0.0137        	DICPCG	7.171880e-03	3.133900e-04	6	true
0.0138        	DICPCG	6.406460e-03	2.464110e-04	5	true
0.0139        	DICPCG	6.520620e-03	2.752980e-04	4	true
0.014         	DICPCG	4.965870e-03	2.151610e-04	5	true
0.0141        	DICPCG	5.779800e-03	2.592590e-04	4	true
0.0142        	DICPCG	5.100450e-03	2.364340e-04	6	true
0.0143        	DICPCG	4.863600e-03	2.106740e-04	5	true
0.0144        	DICPCG	4.931790e-03	1.871970e-04	5	true
0.0145        	DICPCG	5.444640e-03	1.933410e-04	5	true
0.0146        	DICPCG	4.941260e-03	1.675640e-04	5	true
0.0147        	DICPCG	5.260600e-03	2.226600e-04	7	true
0.0148        	DICPCG	8.439360e-03	3.348200e-04	5	true
0.0149        	DICPCG	5.350380e-03	2.444350e-04	4	true
0.015         	DICPCG	5.524310e-03	2.433680e-04	5	true
0.0151        	DICPCG	6.152550e-03	2.302880e-04	5	true
0.0152        	DICPCG	8.534550e-03	3.200700e-04	4	true
0.0153        	DICPCG	5.959150e-03	2.525200e-04	4	true
0.0154        	DICPCG	7.691590e-03	2.837680e-04	4	true
0.0155        	DICPCG	4.913640e-03	1.993040e-04	5	true
0.0156        	DICPCG	5.347240e-03	2.610000e-04	6	true
0.0157        	DICPCG	5.185200e-03	2.175360e-04	5	true
0.0158        	DICPCG	5.182190e-03	2.097710e-04	4	true
0.0159        	DICPCG	4.565680e-03	2.207240e-04	4	true
0.016         	DICPCG	6.870230e-03	2.826670e-04	5	true
0.0161        	DICPCG	4.369230e-03	1.897900e-04	6	true
0.0162        	DICPCG	5.247350e-03	2.343050e-04	4	true
0.0163        	DICPCG	6.750340e-03	2.533910e-04	4	true
0.0164        	DICPCG	4.440590e-03	1.698050e-04	5	true
0.0165        	DICPCG	6.918530e-03	3.024780e-04	4	true
0.0166        	DICPCG	4.732360e-03	1.848920e-04	5	true
0.0167        	DICPCG	4.911460e-03	1.801690e-04	5	true
0.0168        	DICPCG	5.019940e-03	1.893640e-04	5	true
0.0169        	DICPCG	4.636720e-03	1.823390e-04	5	true
0.017         	DICPCG	5.457310e-03	2.099210e-04	4	true
0.0171        	DICPCG	5.458550e-03	2.271660e-04	4	true
0.0172        	DICPCG	5.032190e-03	2.409860e-04	4	true
0.0173        	DICPCG	8.936080e-03	3.410800e-04	5	true
0.0174        	DICPCG	5.977460e-03	2.573950e-04	5	true
0.0175        	DICPCG	7.308290e-03	2.347620e-04	4	true
0.0176        	DICPCG	6.331680e-03	2.462360e-04	4	true
0.0177        	DICPCG	6.575410e-03	3.057330e-04	4	true
0.0178        	DICPCG	1.560390e-02	5.098120e-04	4	true
0.0179        	DICPCG	1.013060e-02	3.881290e-04	4	true
0.018         	DICPCG	8.874060e-03	3.395740e-04	4	true
0.0181        	DICPCG	6.035580e-03	2.667660e-04	4	true
0.0182        	DICPCG	7.338350e-03	2.738480e-04	4	true
0.0183        	DICPCG	6.628390e-03	2.698050e-04	4	true
0.0184        	DICPCG	7.081930e-03	3.433980e-04	5	true
0.0185        	DICPCG	6.209720e-03	2.319650e-04	4	true
0.0186        	DICPCG	5.542090e-03	2.718210e-04	5	true
0.0187        	DICPCG	5.585420e-03	2.208690e-04	6	true
0.0188        	DICPCG	7.420510e-03	2.810990e-04	4	true
0.0189        	DICPCG	6.418860e-03	2.972600e-04	4	true
0.019         	DICPCG	8.090160e-03	3.012490e-04	5	true
0.0191        	DICPCG	5.757360e-03	2.101810e-04	4	true
0.0192        	DICPCG	8.482150e-03	2.990840e-04	4	true
0.0193        	DICPCG	6.351430e-03	2.608710e-04	4	true
0.0194        	DICPCG	4.715380e-03	1.688940e-04	4	true
0.0195        	DICPCG	6.318490e-03	2.283820e-04	4	true
0.0196        	DICPCG	9.468870e-03	3.915150e-04	4	true
0.0197        	DICPCG	6.831010e-03	2.486270e-04	5	true
0.0198        	DICPCG	8.788710e-03	3.737690e-04	5	true
0.0199        	DICPCG	6.840510e-03	2.104240e-04	4	true
0.02          	DICPCG	8.259890e-03	3.696000e-04	4	true
0.0201        	DICPCG	6.215610e-03	3.081730e-04	4	true
0.0202        	DICPCG	8.791690e-03	4.081360e-04	5	true
0.0203        	DICPCG	6.410940e-03	2.889450e-04	4	true
0.0204        	DICPCG	7.545520e-03	3.282630e-04	4	true
0.0205        	DICPCG	4.799300e-03	1.946030e-04	5	true
0.0206        	DICPCG	6.357590e-03	2.665290e-04	4	true
0.0207        	DICPCG	8.753320e-03	3.000200e-04	5	true
0.0208        	DICPCG	6.490800e-03	2.632180e-04	5	true
0.0209        	DICPCG	6.598090e-03	2.827850e-04	5	true
0.021         	DICPCG	7.994920e-03	3.113020e-04	4	true
0.0211        	DICPCG	9.343400e-03	3.509740e-04	5	true
0.0212        	DICPCG	4.337640e-03	2.015940e-04	6	true
0.0213        	DICPCG	6.467570e-03	2.621970e-04	5	true
0.0214        	DICPCG	6.306850e-03	2.754280e-04	5	true
0.0215        	DICPCG	4.022440e-03	1.733730e-04	6	true
0.0216        	DICPCG	6.882640e-03	3.044750e-04	5	true
0.0217        	DICPCG	5.979240e-03	2.756720e-04	5	true
0.0218        	DICPCG	6.016220e-03	2.691540e-04	5	true
0.0219        	DICPCG	5.976170e-03	2.797180e-04	5	true
0.022         	DICPCG	6.009820e-03	2.854870e-04	5	true
0.0221        	DICPCG	5.837840e-03	2.763250e-04	5	true
0.0222        	DICPCG	6.239440e-03	2.723860e-04	5	true
0.0223        	DICPCG	6.077940e-03	2.743550e-04	5	true
0.0224        	DICPCG	5.949110e-03	2.829420e-04	5	true
0.0225        	DICPCG	3.835680e-03	1.792690e-04	5	true
0.0226        	DICPCG	6.302380e-03	3.095150e-04	5	true
0.0227        	DICPCG	6.564640e-03	3.059970e-04	5	true
