# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
0.0001        	smoothSolver	1.000000e+00	4.997640e-07	1	0.000000e+00	0.000000e+00	0	false	DICPCG	1.000000e+00	4.397260e-02	103	true
0.0002        	smoothSolver	9.842000e-01	5.159800e-07	3	3.013850e-01	1.176960e-06	3	false	DICPCG	4.641170e-03	2.313370e-04	100	true
0.0003        	smoothSolver	1.168250e-01	3.241610e-06	2	6.651160e-02	3.012910e-06	2	false	DICPCG	4.517140e-01	2.100360e-02	2	true
0.0004        	smoothSolver	3.382110e-02	1.209130e-06	2	3.282100e-02	1.628300e-06	2	false	DICPCG	1.946230e-01	9.683310e-03	3	true
0.0005        	smoothSolver	2.836780e-02	1.386770e-06	2	2.850050e-02	1.924260e-06	2	false	DICPCG	1.433480e-01	6.378930e-03	4	true
0.0006        	smoothSolver	2.462060e-02	1.171260e-06	2	2.647560e-02	1.900540e-06	2	false	DICPCG	1.187610e-01	4.799590e-03	4	true
0.0007        	smoothSolver	2.187530e-02	1.111270e-06	2	2.387830e-02	1.636750e-06	2	false	DICPCG	8.744130e-02	3.898170e-03	4	true
0.0008        	smoothSolver	1.917050e-02	1.051970e-06	2	2.248240e-02	1.657960e-06	2	false	DICPCG	8.229350e-02	3.365530e-03	4	true
0.0009        	smoothSolver	1.703160e-02	1.022690e-06	2	2.038140e-02	1.607380e-06	2	false	DICPCG	8.223390e-02	3.158090e-03	4	true
0.001         	smoothSolver	1.502930e-02	9.518320e-07	2	1.881750e-02	1.474660e-06	2	false	DICPCG	7.303520e-02	2.980780e-03	4	true
0.0011        	smoothSolver	1.331570e-02	8.551360e-07	2	1.780520e-02	1.349020e-06	2	false	DICPCG	6.786240e-02	2.991580e-03	4	true
0.0012        	smoothSolver	1.203800e-02	8.338130e-07	2	1.670230e-02	1.380750e-06	2	false	DICPCG	5.713160e-02	2.402200e-03	4	true
